L,nup,n,delta,U,seed,beta_proj,tau_max,nw,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,chi_pan_s_full,chi_pan_s_vertex,chi_pan_d_full,chi_pan_d_vertex
12,72,1.0,0.3,4.0,5,32.0,0.8,500,4.154202599798412,-4.799827155349315,28.754803573082633,4.491539021216925,34.79160955194391,2.7051063254698695,42.062313478379984,5.339787843811413,30.986359181579683,3.3271175986096964,26.09370716395793,2.028829744102403
12,72,1.0,0.3,4.0,4,32.0,0.8,500,4.155429061027128,-4.783841199507494,28.75891514984072,4.4737001332409365,34.894022170238955,3.0420751247638362,41.93681960340445,5.201313747517169,31.00381499181568,3.3254098953837805,26.170516627679213,2.281556343572877
12,72,1.0,0.3,4.0,3,32.0,0.8,500,4.157068337284033,-4.797113487764425,28.781055785114553,4.50062227665309,34.91196010097441,2.9041487518240414,42.04778910275723,5.3291471505415,31.013564619181125,3.3500792599190463,26.183970075730805,2.1781115638680304
12,72,1.0,0.3,4.0,1,32.0,0.8,500,4.14252851772053,-4.774324325269485,28.720850369979388,4.454401687992868,34.24927808125532,2.338206684572365,41.849145587228826,5.220927952288714,30.97068193435132,3.332250595096079,25.68695856094148,1.753655013429272
12,72,1.0,0.3,4.0,6,32.0,0.8,500,4.153127063035993,-4.801565062175369,28.72689219741933,4.449849759111726,33.99958590141534,1.9383252468276946,41.862827739388045,5.175628512736794,30.969914521467285,3.304418622663154,25.4996894260615,1.4537439351207697
12,72,1.0,0.3,4.0,2,32.0,0.8,500,4.1501558383807104,-4.783372566615402,28.749347456912453,4.469710592635312,34.529840478168744,2.5303251502308877,41.800858532641016,5.047448054525317,30.98248560019444,3.325231549391861,25.89738035862656,1.8977438626731673
