L,nup,delta,seed,chi_d,chi_dxy,n
12,16,0.0,1,-7.8920547357157576,3.829598898894191,0.2222222222222222
12,16,0.0,2,-10.286484211028839,7.009528853506298,0.2222222222222222
12,16,0.1,1,-7.31919367680091,0.5478666766452747,0.2222222222222222
12,16,0.1,2,-12.330856055348885,0.21025085981229844,0.2222222222222222
12,16,0.2,1,-8.221967967957308,-12.199369460520314,0.2222222222222222
12,16,0.2,2,-8.004524168692884,-10.678523757861843,0.2222222222222222
12,16,0.3,1,-8.776053075857416,-30.735658271915646,0.2222222222222222
12,16,0.3,2,-13.112616094445269,-30.799632564425668,0.2222222222222222
12,16,0.4,1,-6.177655878411203,-63.18409442113996,0.2222222222222222
12,16,0.4,2,-10.207385582866593,-62.68045516806668,0.2222222222222222
12,24,0.0,1,-2.863735111598094,7.507943605832016,0.3333333333333333
12,24,0.0,2,-6.0306946425367745,8.180986535356313,0.3333333333333333
12,24,0.1,1,-3.448262393700099,1.365337991497317,0.3333333333333333
12,24,0.1,2,-5.063454667979269,3.6277469234019484,0.3333333333333333
12,24,0.2,1,-3.4946753738009804,-7.490690119513708,0.3333333333333333
12,24,0.2,2,-4.904807401116815,-7.677391598895599,0.3333333333333333
12,24,0.3,1,-7.421724996457949,-23.438532201899584,0.3333333333333333
12,24,0.3,2,-6.242554808911121,-21.634345475224908,0.3333333333333333
12,24,0.4,1,-8.097274734633162,-40.26005957530832,0.3333333333333333
12,24,0.4,2,-12.841069691021591,-32.49960134861866,0.3333333333333333
12,32,0.0,1,-0.2625912288282898,4.504778605941243,0.4444444444444444
12,32,0.0,2,-4.856444278128416,7.262151962148951,0.4444444444444444
12,32,0.1,1,-1.5724029743457986,0.6509505703427347,0.4444444444444444
12,32,0.1,2,-2.5882416320619024,0.1009313256580894,0.4444444444444444
12,32,0.2,1,-1.978845556595316,-3.293726442430022,0.4444444444444444
12,32,0.2,2,-7.0058601330376975,-2.780160192328966,0.4444444444444444
12,32,0.3,1,-2.8321941121303276,-13.554194664422516,0.4444444444444444
12,32,0.3,2,-3.4332558223657754,-11.912569786413496,0.4444444444444444
12,32,0.4,1,-5.325898130251842,-24.875801242753674,0.4444444444444444
12,32,0.4,2,-5.751321540210938,-24.854553038294288,0.4444444444444444
12,40,0.0,1,3.0777070228140575,2.790302181159594,0.5555555555555556
12,40,0.0,2,-1.0579675608191679,1.9482763613242866,0.5555555555555556
12,40,0.1,1,2.730816704903828,1.0129055721506635,0.5555555555555556
12,40,0.1,2,0.7468850872353856,1.6132375383052966,0.5555555555555556
12,40,0.2,1,0.9939362850887177,-5.206240837736784,0.5555555555555556
12,40,0.2,2,-5.158987765530783,-4.155410052362679,0.5555555555555556
12,40,0.3,1,1.9358388498638646,-12.213359333881275,0.5555555555555556
12,40,0.3,2,-0.6793264475628511,-10.063473569781355,0.5555555555555556
12,40,0.4,1,-0.7636219343716814,-11.262747519173896,0.5555555555555556
12,40,0.4,2,-4.298346597722592,-15.71352532437244,0.5555555555555556
12,48,0.0,1,0.9596547399357446,-2.146621967238397,0.6666666666666666
12,48,0.0,2,0.09636572289034628,-1.926786369776456,0.6666666666666666
12,48,0.1,1,-0.5319170383233136,0.10001631102186952,0.6666666666666666
12,48,0.1,2,1.0289400876374697,-1.0173766330867762,0.6666666666666666
12,48,0.2,1,2.59040461676393,-5.016297808252941,0.6666666666666666
12,48,0.2,2,0.09450201992534737,-4.781141349897624,0.6666666666666666
12,48,0.3,1,0.721217710742725,-6.003104932537894,0.6666666666666666
12,48,0.3,2,3.7655351872384295,-4.967517855487512,0.6666666666666666
12,48,0.4,1,-0.4229630231440263,-12.345823402085674,0.6666666666666666
12,48,0.4,2,-2.8371186356884963,-11.254123699155281,0.6666666666666666
12,56,0.0,1,3.502162165391634,-0.7750264165329721,0.7777777777777778
12,56,0.0,2,4.06798740991005,-2.1303402072743736,0.7777777777777778
12,56,0.1,1,2.077891687885727,-1.2916187257195897,0.7777777777777778
