L,nup,delta,seed,chi_d,chi_dxy,n
10,11,0.0,1,-4.655234199932922,2.8266909717983153,0.22
10,11,0.0,2,-3.589989644711376,3.7895939907780942,0.22
10,11,0.1,1,-5.044235507404812,0.8077592842447452,0.22
10,11,0.1,2,-4.31266465763799,1.0733578487089428,0.22
10,11,0.2,1,-4.249400883892347,-8.671369638517888,0.22
10,11,0.2,2,-5.259054561457515,-9.252029487127466,0.22
10,11,0.3,1,-5.856042044171937,-23.165521463273162,0.22
10,11,0.3,2,-5.549848287170563,-22.876239210665812,0.22
10,11,0.4,1,-6.659925546067354,-48.89289901894427,0.22
10,11,0.4,2,-7.316017272930975,-45.50130249223383,0.22
10,17,0.0,1,-3.5479784518063346,0.07929081727303836,0.34
10,17,0.0,2,-1.0541911825189787,0.9680856191050724,0.34
10,17,0.1,1,-4.815920819174518,0.7256235455999323,0.34
10,17,0.1,2,-5.761912352217127,1.455326704442475,0.34
10,17,0.2,1,-4.085828044025722,-2.776574939052684,0.34
10,17,0.2,2,-2.7070139240320437,-3.3471033416495333,0.34
10,17,0.3,1,-4.501406861415903,-13.291512019865811,0.34
10,17,0.3,2,-3.889012485762362,-10.872429600606424,0.34
10,17,0.4,1,-3.316359627388677,-25.487950527452163,0.34
10,17,0.4,2,-5.148728098926349,-25.5396554681693,0.34
10,22,0.0,1,-1.729392589014966,2.8466611527776733,0.44
10,22,0.0,2,-1.9022131869108478,3.2264512742722418,0.44
10,22,0.1,1,-2.8112908490015625,4.1832546943979425,0.44
10,22,0.1,2,-0.3492330510500758,2.21352596904744,0.44
10,22,0.2,1,-2.793402463119297,-0.8998551943115615,0.44
10,22,0.2,2,-2.959336996373656,-1.0826067275428797,0.44
10,22,0.3,1,-1.3095442589201636,-9.857520439978826,0.44
10,22,0.3,2,-0.59515786110827,-8.457308496482288,0.44
10,22,0.4,1,-3.560812315513023,-13.499013049045715,0.44
10,22,0.4,2,-1.1273622450477707,-13.848270508317597,0.44
10,28,0.0,1,-1.2605598558545157,1.8022018044364139,0.56
10,28,0.0,2,-0.9629615284788621,0.6274264128020045,0.56
10,28,0.1,1,3.689558131465725,-0.7537449958721025,0.56
10,28,0.1,2,-0.5554589443963904,-0.3828592142540132,0.56
10,28,0.2,1,0.7348544968635682,-0.4287256464438574,0.56
10,28,0.2,2,0.9677324648038763,-4.432870246807637,0.56
10,28,0.3,1,-2.7071874782890837,-6.5384006526777485,0.56
10,28,0.3,2,-0.4830964234526635,-5.981825776770369,0.56
10,28,0.4,1,-4.325116297505021,-12.961946511801898,0.56
10,28,0.4,2,-1.400972599428022,-12.86752563892066,0.56
10,33,0.0,1,1.2261403883576474,-0.3597080434199663,0.66
10,33,0.0,2,1.794113430258557,0.16589886904545578,0.66
10,33,0.1,1,0.15070329579951344,-1.7094495303970074,0.66
10,33,0.1,2,0.4528684132321582,-1.186572532636249,0.66
10,33,0.2,1,1.8960308533503465,-3.3519007375419796,0.66
10,33,0.2,2,3.003871773976211,-3.4823218627610544,0.66
10,33,0.3,1,1.2497362831211498,-3.166997302439962,0.66
10,33,0.3,2,0.019523542034898034,-4.662662260023606,0.66
10,33,0.4,1,1.4921631369746937,-6.774147227679738,0.66
10,33,0.4,2,-0.5846084645920147,-6.892144460248912,0.66
10,39,0.0,1,1.755170593164003,-1.3702933536388495,0.78
10,39,0.0,2,4.125184614243696,-1.4610027639707088,0.78
10,39,0.1,1,2.0138741283061146,-1.4287098947532957,0.78
10,39,0.1,2,0.7170797546449232,-2.295923173820819,0.78
10,39,0.2,1,1.5872433701123998,-3.23198523196499,0.78
10,39,0.2,2,2.6556475478559016,-2.8895667848748388,0.78
10,39,0.3,1,3.160279286080148,-4.7300812906178225,0.78
10,39,0.3,2,1.9833090210720925,-6.1778431750161,0.78
10,39,0.4,1,0.1312776689730526,-4.6774560007832,0.78
10,39,0.4,2,0.7373367654394407,-4.878660404948148,0.78
10,44,0.0,1,4.1443109703602,-1.102725521300871,0.88
10,44,0.0,2,4.126707243215764,-1.0906836152405213,0.88
10,44,0.1,1,3.655054080920543,-1.9618728565852106,0.88
10,44,0.1,2,4.364959436342961,-1.5941447887165308,0.88
10,44,0.2,1,3.762738989570124,-2.9263746739284335,0.88
10,44,0.2,2,2.9064352655293697,-3.040579569319291,0.88
10,44,0.3,1,1.8897549490046153,-2.3276743214849587,0.88
10,44,0.3,2,2.290082311805471,-2.3367821993873497,0.88
10,44,0.4,1,1.4003128571621162,0.24283475969743837,0.88
10,44,0.4,2,1.031490298136858,0.05663424819142704,0.88
10,50,0.0,1,3.333761939426597,-1.2002004809204365,1.0
10,50,0.0,2,3.258346655389702,-1.0761625499213452,1.0
10,50,0.1,1,3.550991880064995,-0.567381451361977,1.0
10,50,0.1,2,3.287309170303319,-1.5070978307661476,1.0
10,50,0.2,1,1.6753117293466644,2.6961006971722448,1.0
10,50,0.2,2,2.305862904284976,2.666906535947357,1.0
10,50,0.3,1,1.8304239045428221,3.83493497538518,1.0
10,50,0.3,2,1.0518190571786703,3.7708156386869645,1.0
10,50,0.4,1,1.1078645241854077,3.946946109274132,1.0
10,50,0.4,2,1.2554430857917915,3.9152831957119347,1.0
