L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
10,25,0.0,8.0,1,0.13153195991632086,0.03626733515387102,0.36267335153871016,0.0,0.0004893578120677007,0.0005917542692884039,0.03372883850242031,0.0010510300808651023,0.5
10,25,0.0,8.0,2,0.13217024148715445,0.03635522541357081,0.3635522541357081,0.0,0.00010032454101281079,0.0002746666613946357,0.034741594261225486,0.001170349009257122,0.5
10,25,0.0,8.0,3,0.13091155003319888,0.03618170118073484,0.3618170118073484,0.0,-9.274055399111723e-05,-0.0002974472333936815,0.034023819254689926,0.0009698144922170869,0.5
10,25,0.0,8.0,4,0.13102945811035277,0.036197991395981184,0.3619799139598118,0.0,0.00020013759135138902,-0.00018478035064853397,0.034484096951386406,0.0008041597739067355,0.5
10,25,0.0,8.0,5,0.13003075370987943,0.03605977727466982,0.36059777274669824,0.0,-7.676162858931351e-05,0.00019450381276915147,0.0344586056915994,0.0013272494588356647,0.5
10,25,0.0,8.0,6,0.13082598529899384,0.03616987493743845,0.3616987493743845,0.0,-0.0005559932424917977,-0.0002425794653399154,0.0337567505833843,0.000891948903453573,0.5
10,25,0.1,8.0,1,0.13341486397782706,0.03652599950416512,0.3652599950416512,0.0036525999504165123,-0.00022834530477192707,-2.095096374055333e-05,0.035013686692205157,0.0009814159405013242,0.5
10,25,0.1,8.0,2,0.129385721014402,0.03597022671799582,0.3597022671799581,0.0035970226717995817,-0.0001438981249477171,0.00038863748102078955,0.033285434670732195,0.0007986014075326202,0.5
10,25,0.1,8.0,3,0.128455628767504,0.03584070713134773,0.35840707131347727,0.0035840707131347734,4.500300508901458e-05,-9.714654580510385e-05,0.032504680992331954,0.0007966424162412217,0.5
10,25,0.1,8.0,4,0.13152911030724193,0.036266942290085875,0.36266942290085874,0.003626694229008588,4.839568156948368e-05,-0.0005192643851786301,0.03325830422637026,0.0008712127616274614,0.5
10,25,0.1,8.0,5,0.1313546787821351,0.03624288603052123,0.3624288603052123,0.0036242886030521237,2.174212555136652e-05,-0.0003164688005892322,0.034183383693416794,0.0012329270648359684,0.5
10,25,0.1,8.0,6,0.1288251969205045,0.035892227141890276,0.35892227141890276,0.0035892227141890278,0.00010853064319432098,0.00016031491341846274,0.03392922362133018,0.0010896806216184485,0.5
10,25,0.2,8.0,1,0.1305322511162758,0.03612924730966254,0.36129247309662543,0.007225849461932509,-0.0002767682575533079,-7.35714263678558e-05,0.034663364093809906,0.0011126233611087283,0.5
10,25,0.2,8.0,2,0.13031823995282393,0.036099617719973706,0.36099617719973703,0.007219923543994741,-5.7807284768888135e-05,-0.0004681558098640954,0.03509434882273295,0.0010135576846151731,0.5
10,25,0.2,8.0,3,0.12981977110954188,0.03603051083589322,0.3603051083589322,0.007206102167178644,-0.00031213567265881396,-0.000572207103660889,0.033725675230447935,0.0009486725765169947,0.5
10,25,0.2,8.0,4,0.12232300206063136,0.03497470543987917,0.3497470543987917,0.006994941087975834,0.0005881629309971539,3.0227297909886515e-05,0.030894100536783507,0.0008403240932627625,0.5
10,25,0.2,8.0,5,0.13040716233779867,0.03611193186992336,0.36111931869923364,0.007222386373984673,-1.3445239925926246e-05,0.0005362210656664262,0.035055621123661576,0.001107110160691399,0.5
10,25,0.2,8.0,6,0.1290358177119854,0.035921555883895874,0.3592155588389587,0.007184311176779175,-0.00036482168013281995,0.0003510411462873003,0.035522302586386896,0.0010816849181775035,0.5
10,25,0.3,8.0,1,0.12392526943459414,0.03520302109685959,0.35203021096859594,0.010560906329057877,-0.00023480787830208787,-0.00016713582914937698,0.03373505402324441,0.0010036540761412872,0.5
10,25,0.3,8.0,2,0.12464111068210784,0.03530454796228212,0.3530454796228212,0.010591364388684636,-4.456098514981875e-06,0.00010626766366772435,0.03447391061474594,0.0027904163721011984,0.5
10,25,0.3,8.0,3,0.1248997963297386,0.035341165279279996,0.35341165279279996,0.010602349583783999,-0.00013314442756677292,0.0006220973269904417,0.033319434007602594,0.0011866868162975991,0.5
10,25,0.3,8.0,4,0.11984664392215985,0.03461887403168391,0.3461887403168391,0.010385662209505174,-6.529792154108226e-05,6.15614327120511e-05,0.0312771227403124,0.0007568236105798923,0.5
10,25,0.3,8.0,5,0.12815599848241768,0.03579888245216849,0.35798882452168485,0.010739664735650545,-0.00023385519204818773,-0.0004885616088446429,0.03594155304690014,0.0022617279391894856,0.5
10,25,0.3,8.0,6,0.11867326368375757,0.034448986005941824,0.34448986005941823,0.010334695801782546,0.00035000669401445103,0.0005495166668445928,0.030604375183414894,0.001633328545025569,0.5
10,25,0.4,8.0,1,0.11350094246114573,0.033689900929083444,0.3368990092908344,0.013475960371633379,0.00011429567557302976,0.00011184481378332799,0.027787196681916725,0.0008146685921768022,0.5
10,25,0.4,8.0,2,0.11355104972042245,0.03369733664852794,0.3369733664852794,0.013478934659411176,0.00016760271148410965,0.0004626141474756595,0.02862094132050822,0.0010034534012051848,0.5
10,25,0.4,8.0,3,0.11592866667942085,0.0340482990293819,0.340482990293819,0.013619319611752759,0.00033676570671775706,-2.3455001604451992e-05,0.029363547281722142,0.0008393791705784822,0.5
10,25,0.4,8.0,4,0.11252000058544323,0.03354400104123586,0.3354400104123586,0.013417600416494344,-0.00027021984483446176,-0.00023634688629630286,0.027976125812738013,0.0009751470725599419,0.5
10,25,0.4,8.0,5,0.11543981500522082,0.03397643521695895,0.3397643521695895,0.013590574086783581,0.00015981058349605562,-0.00020574707754024508,0.03018455616240621,0.0009321996298351238,0.5
10,25,0.4,8.0,6,0.11590456607377937,0.034044759666324476,0.34044759666324476,0.013617903866529791,0.00025360046654961604,8.105824822200735e-06,0.029372574183613026,0.001205542090933472,0.5
10,28,0.0,8.0,1,0.15009542580289692,0.03874215092156048,0.38742150921560475,0.0,3.034257394210413e-06,-0.0009779468347997687,0.04723373131017478,0.0015209797494364337,0.56
10,28,0.0,8.0,2,0.15468714730619934,0.03933028696897587,0.39330286968975875,0.0,-0.00025308247673582667,0.00023750925772356296,0.04994160490812329,0.0016931669981508739,0.56
10,28,0.0,8.0,3,0.15444479529739896,0.039299465046918766,0.39299465046918763,0.0,0.0002635335054439822,-2.0687810795308666e-05,0.04930442882881478,0.0017604770350505864,0.56
10,28,0.0,8.0,4,0.16018380504706942,0.040022969036175894,0.4002296903617589,0.0,0.00028289571954347994,0.000459183792665882,0.05078127729071151,0.0020607378386220975,0.56
10,28,0.0,8.0,5,0.15340084605003187,0.039166420062348294,0.3916642006234829,0.0,2.8196074960356728e-05,0.0001290103436142947,0.05016113850511481,0.0015435576424414608,0.56
10,28,0.0,8.0,6,0.1519403391304841,0.03897952528321556,0.3897952528321556,0.0,-0.0006087177467786921,-0.001234929331293187,0.04798456081212144,0.0016808514014716208,0.56
10,28,0.1,8.0,1,0.15272631825002975,0.039080214719219464,0.39080214719219464,0.003908021471921946,-0.00019081712845584012,-0.001178607687657257,0.05006194371918051,0.001506876633912634,0.56
10,28,0.1,8.0,2,0.1531537769822238,0.0391348664214181,0.391348664214181,0.00391348664214181,-5.2166078190010214e-05,-0.0013346292258817419,0.04894628674523892,0.0013322892470180525,0.56
10,28,0.1,8.0,3,0.14795616689449326,0.03846507076485019,0.3846507076485019,0.0038465070764850187,0.00029765221363959736,-0.0017428960374467485,0.045575083540007354,0.003446895467042242,0.56
10,28,0.1,8.0,4,0.1481087544493795,0.038484900214159255,0.3848490021415925,0.003848490021415926,0.0005138985233752532,-0.0018838459703129332,0.046554421184279556,0.0012537371788527724,0.56
10,28,0.1,8.0,5,0.15808220269182705,0.039759552649876115,0.3975955264987611,0.0039759552649876115,-8.771365414488697e-05,-0.0020400615705588403,0.05266218466348044,0.0027914474524755777,0.56
10,28,0.1,8.0,6,0.14963105730070603,0.03868217384024662,0.38682173840246625,0.0038682173840246625,0.0001304861716076795,-0.0015006595761189285,0.04762523299007652,0.0017634447500081655,0.56
10,28,0.2,8.0,1,0.14442838665372815,0.03800373490247085,0.38003734902470854,0.0076007469804941705,-4.0766843997809415e-05,0.0011064796613306622,0.04339754067467919,0.001307942340127322,0.56
