nup,delta,m,m0,chi_d,chi_dxy,dm,mAM,n
36,0.0,0.03039082639269883,0.0294627825494394,-2.0444968465912248,3.4052152503826494,0.000928043843259431,0.0,0.5
36,0.1,0.030197604628088386,0.029386935469142495,-0.1823233783009491,2.2634931354401795,0.0008106691589458911,8.106691589458912e-05,0.5
36,0.2,0.030070996127152583,0.0291349980717828,0.49737612927971525,-1.8612679600752464,0.0009359980553697821,0.00018719961107395642,0.5
36,0.3,0.029725476189829802,0.0287761939629325,-2.5181147091690153,-9.47313291722522,0.0009492822268973022,0.0002847846680691907,0.5
36,0.4,0.029292521046061767,0.0283303679781198,-1.9390627198135941,-21.38627322318357,0.0009621530679419683,0.0003848612271767874,0.5
40,0.0,0.032520769183061,0.031056499687497,1.800319742245809,2.5690699075026844,0.0014642694955640002,0.0,0.5555555555555556
40,0.1,0.032377016022180266,0.0309676136091056,2.4906715057813975,1.323174920454017,0.0014094024130746653,0.00014094024130746654,0.5555555555555556
40,0.2,0.03213888920446804,0.030714859295012203,-0.23874801579844696,-4.589123988545786,0.0014240299094558338,0.0002848059818911668,0.5555555555555556
40,0.3,0.03162382308781857,0.0303338711713847,0.7565673189603311,-10.000690494235654,0.0012899519164338673,0.0003869855749301602,0.5555555555555556
40,0.4,0.030544176482135633,0.0295312657142231,-1.9096731327231062,-13.621431224496133,0.0010129107679125345,0.0004051643071650138,0.5555555555555556
48,0.0,0.0376428211502779,0.0340206908719885,1.011242724662067,-1.3612435155298004,0.0036221302782893997,0.0,0.6666666666666666
48,0.1,0.03775570403063428,0.0339154269959452,0.21172912607539507,-1.4627025351975007,0.003840277034689081,0.0003840277034689081,0.6666666666666666
48,0.2,0.036492185057586564,0.0333133456474967,1.6185504946068525,-3.799381319526979,0.0031788394100898607,0.0006357678820179722,0.6666666666666666
48,0.3,0.03439920953526117,0.0321157904505505,1.3794499901656625,-6.685159568477811,0.002283419084710671,0.0006850257254132012,0.6666666666666666
48,0.4,0.03286545263515415,0.0307744154819389,-1.1088876337352225,-10.794044915201793,0.0020910371532152465,0.0008364148612860986,0.6666666666666666
56,0.0,0.04334439611557354,0.0360843918243516,3.7948751816175417,-1.6751474691632442,0.007260004291221936,0.0,0.7777777777777778
56,0.1,0.04273712333457285,0.0358651129078462,2.696318883377606,-2.2577236780182828,0.006872010426726652,0.0006872010426726652,0.7777777777777778
56,0.2,0.042448070721222114,0.0358614000822791,3.659876873762421,-4.20567546144824,0.006586670638943012,0.0013173341277886025,0.7777777777777778
56,0.3,0.038540347642777605,0.0339169757981854,1.7625906167486562,-5.6341520358259665,0.004623371844592203,0.0013870115533776608,0.7777777777777778
56,0.4,0.03629289104815995,0.0325837812268567,0.8681838126494023,-5.98980616263573,0.0037091098213032497,0.0014836439285213,0.7777777777777778
64,0.0,0.05189072346981225,0.0385246883486812,6.169973179025853,-1.8703984896270962,0.013366035121131048,0.0,0.8888888888888888
64,0.1,0.04904091486086767,0.038153117216331,5.189588308470796,-1.9143131130855588,0.010887797644536665,0.0010887797644536666,0.8888888888888888
64,0.2,0.04748120685895207,0.0369562316081898,5.533026367619197,-3.452641994252184,0.010524975250762264,0.002104995050152453,0.8888888888888888
64,0.3,0.04700834133643633,0.0362770355696942,3.5028271654694856,-3.499052628942477,0.010731305766742132,0.0032193917300226394,0.8888888888888888
64,0.4,0.038511309454985244,0.0332893207711791,2.1413353651764933,2.994484825846538,0.0052219886838061474,0.002088795473522459,0.8888888888888888
72,0.0,0.0499348182519422,0.0380362887156365,3.981743056368676,-1.4193753191315441,0.0118985295363057,0.0,1.0
72,0.1,0.04939821318863249,0.037554652263564,4.052878746572491,-1.4898645007802378,0.01184356092506849,0.001184356092506849,1.0
72,0.2,0.04734616102841011,0.0367683761087647,2.6766878171393405,3.72699852451937,0.010577784919645415,0.002115556983929083,1.0
72,0.3,0.04560665930365284,0.0356748742287585,2.3654032392043702,5.002380019690393,0.00993178507489434,0.002979535522468302,1.0
72,0.4,0.041042825145725555,0.034358650153483,1.7753387701569332,5.595813566477651,0.006684174992242553,0.0026736699968970216,1.0
