L,nup,delta,U,seed,chi_son,chi_sext,chi_d,chi_dxy,n
8,16,0.0,2.0,1,-17.319578152346566,-9.736555194273961,-0.21151780758701175,0.4927530268500532,0.5
8,16,0.0,2.0,2,-17.226417603683004,-9.75631214826051,1.4299308115503726,0.6730179380933151,0.5
8,16,0.0,2.0,3,-17.220902363458443,-9.717148230585744,0.3891352025505929,0.47280966828393955,0.5
8,16,0.0,2.0,4,-17.26360321755259,-9.796037403095838,-0.44842790541868915,0.2885843979962329,0.5
8,16,0.0,2.0,5,-17.19233797954279,-9.566372654592751,0.23848457761906633,0.16775743249407607,0.5
8,16,0.0,2.0,6,-17.309481526687616,-9.768434803905754,1.3407134938813503,0.21885227290930218,0.5
8,16,0.1,2.0,1,-17.533806957698708,-9.753975043170978,-0.46090981349652466,-0.1277487139462815,0.5
8,16,0.1,2.0,2,-17.516735297999798,-9.86523251818184,1.261384770405797,-0.4110527883410553,0.5
8,16,0.1,2.0,3,-17.494282975026515,-9.664741845095785,2.2164033470079825,0.14212159799419927,0.5
8,16,0.1,2.0,4,-17.612510220388216,-9.910689435847893,0.8099799780299891,0.3068577998774157,0.5
8,16,0.1,2.0,5,-17.474981960787773,-9.827704411556777,0.7713312114645366,0.21438759122197748,0.5
8,16,0.1,2.0,6,-17.518653205199236,-9.881255503855023,1.3808489751811166,0.319570258860305,0.5
8,16,0.2,2.0,1,-18.307625317259316,-10.344632191756784,1.3535037588966543,-0.0030826830133308335,0.5
8,16,0.2,2.0,2,-18.388966950588912,-10.160334443125269,0.1804036038828504,-0.1881371255545409,0.5
8,16,0.2,2.0,3,-18.329788655715653,-10.0126748241982,1.9587351043802272,-0.5820506011392356,0.5
8,16,0.2,2.0,4,-18.37538506591239,-10.20009223721909,1.1941456788678804,-0.5763801130824923,0.5
8,16,0.2,2.0,5,-18.29400975407811,-10.112921781486744,1.6698743782686498,0.15088755694966802,0.5
8,16,0.2,2.0,6,-18.36491151196721,-10.079432490573492,0.812018629453244,1.441152782894499,0.5
8,16,0.3,2.0,1,-19.952195263393474,-11.165649525616896,0.8733349211596784,-3.359867558756753,0.5
8,16,0.3,2.0,2,-20.003769977941282,-11.382080138831833,0.42404419827453743,-1.1384883898485145,0.5
8,16,0.3,2.0,3,-19.84232187829785,-10.96543337684952,0.684634436148281,-2.8822758096652676,0.5
8,16,0.3,2.0,4,-19.892082032582802,-10.931409226903543,0.8109831301488744,-2.1562510615234762,0.5
8,16,0.3,2.0,5,-19.840501827226273,-10.866596257028046,0.00569409179089928,-3.273717601218786,0.5
8,16,0.3,2.0,6,-19.914065457047542,-11.063855418116432,0.02562080055137601,-3.9791715269153136,0.5
8,16,0.4,2.0,1,-22.27490501922516,-12.669872699492355,0.7408622117380274,-10.453648975615362,0.5
8,16,0.4,2.0,2,-22.420282170212467,-12.898420674859352,0.9233650623435945,-9.0559970459792,0.5
8,16,0.4,2.0,3,-22.440072377906976,-12.766903194993228,-0.2348155422133146,-10.804940023103834,0.5
8,16,0.4,2.0,4,-22.58062163950605,-12.946488623892105,0.2338643455225397,-8.344217935307984,0.5
8,16,0.4,2.0,5,-22.407331914595115,-12.578479719337126,0.39675144868101664,-8.98789832275063,0.5
8,16,0.4,2.0,6,-22.471269662965778,-12.636642580143008,0.6668732791243832,-7.565960537098251,0.5
8,18,0.0,2.0,1,-14.53244377947632,-8.667846979386198,1.142640655401379,-0.016563933907854843,0.5625
8,18,0.0,2.0,2,-14.537628215764247,-8.695377048438058,0.6327454023804322,0.020813305118958337,0.5625
8,18,0.0,2.0,3,-14.444324134137267,-8.761625503343444,0.42768880870688697,1.2112371258967962,0.5625
8,18,0.0,2.0,4,-14.50387250239802,-8.603227320891765,-0.07361456100089181,-0.20258901383393263,0.5625
8,18,0.0,2.0,5,-14.596986242998856,-8.877075964694882,0.03571390042987401,0.9284784683387948,0.5625
8,18,0.0,2.0,6,-14.562485739078403,-8.918852782959803,2.0852939054023834,0.5573667339345609,0.5625
8,18,0.1,2.0,1,-14.775473827671595,-7.572036477927194,0.008013516639616114,0.42864620954542226,0.5625
8,18,0.1,2.0,2,-14.97297499272263,-7.936807767873566,1.3579830603950909,0.505254236070402,0.5625
8,18,0.1,2.0,3,-14.660077087750546,-7.458108414617155,2.1983673402114206,0.23789754797841223,0.5625
8,18,0.1,2.0,4,-14.757716269132601,-7.762206053578359,1.1761535276160533,0.4138221842185382,0.5625
8,18,0.1,2.0,5,-14.805247704538488,-7.707677551702065,2.1670539494765353,1.2535306963499808,0.5625
8,18,0.1,2.0,6,-14.907079327634506,-7.942096077708095,2.065075031784744,1.1260535884209855,0.5625
8,18,0.2,2.0,1,-15.402471453904784,-7.434991019434956,0.7844783318402407,0.11722667364939329,0.5625
8,18,0.2,2.0,2,-15.330790922718773,-7.386265265885703,1.3523580311127756,0.963481015066469,0.5625
8,18,0.2,2.0,3,-15.345958078256592,-7.526019862282165,2.5212743377449884,1.0838172997308675,0.5625
8,18,0.2,2.0,4,-15.258269813502926,-7.421537832157602,1.2038321789991264,-0.07393728841800998,0.5625
