L,n,U,delta,src,npts,Spipi,Smax,Psi_dxy,Psi_dx2y2
14,0.929,4.0,0.0,L14_archive,224,0.361913456,4.365421439,0.001256394305342757,0.008664325014845646
14,0.969,4.0,0.0,L14_archive,224,13.409791866,13.409791866,0.00015593937859281003,-0.00030891549552069776
14,1.0,4.0,-0.0,L14_archive,224,17.117265417,17.117265417,-2.7865366767391688e-06,0.00025573120480479924
14,0.5,4.0,0.1,L14_archive,224,0.132118498,0.193789455,0.0001756036083046621,-0.0016494891359935715
14,0.582,4.0,0.1,L14_archive,224,0.156104385,0.244090932,9.117190166401008e-05,0.0007833152504762496
14,0.622,4.0,0.1,L14_archive,224,0.171481262,0.242892418,0.0006101935671413819,-7.996716607179643e-05
14,0.663,4.0,0.1,L14_archive,224,0.175724003,0.265352021,-0.0014680230340187244,-0.00030445948723881774
14,0.745,4.0,0.1,L14_archive,224,0.191711906,0.335961593,0.0026268461500412953,0.000590209798535719
14,0.765,4.0,0.1,L14_archive,224,1.068492211,1.068492211,-4.229168938697123e-05,-0.0002723664988265486
14,0.806,4.0,0.1,L14_archive,224,0.262109512,0.470968373,-0.0010363827336443633,0.0014141941583191034
14,0.888,4.0,0.1,L14_archive,224,0.908344137,1.322217057,0.0010816588490030169,-0.000673296651897054
14,0.929,4.0,0.1,L14_archive,224,2.730054208,2.730054208,-0.003674860376363286,-0.0017103390718556635
14,0.969,4.0,0.1,L14_archive,224,13.528545268,13.528545268,1.395763146156318e-05,-7.506452232077758e-05
14,1.0,4.0,0.1,L14_archive,224,16.387448699,16.387448699,-3.0475221204156106e-05,-0.00038299362776011585
14,0.5,4.0,0.2,L14_archive,224,0.130351519,0.250407014,-0.00047903015370468003,0.0009371462557965167
14,0.582,4.0,0.2,L14_archive,224,0.153380553,0.210010262,0.0007547995118873054,-0.00013388512727363633
14,0.622,4.0,0.2,L14_archive,224,0.166242562,0.235255917,0.00150427009911364,0.0007862089475161514
14,0.704,4.0,0.2,L14_archive,224,0.532177107,0.694341739,-0.0021908666853995367,0.0005328411487509016
14,0.745,4.0,0.2,L14_archive,224,0.748552827,0.896594743,0.003378685636879506,0.00020121902831001456
14,0.765,4.0,0.2,L14_archive,224,1.64798802,1.64798802,-0.0003155897992167816,-0.0017770955639032201
14,0.847,4.0,0.2,L14_archive,224,0.95589171,0.95589171,0.0008742796469097424,-0.002310189099514585
14,0.888,4.0,0.2,L14_archive,224,2.602275277,2.602275277,0.0008167345949333336,0.002914872631905042
14,0.929,4.0,0.2,L14_archive,224,9.611869564,9.611869564,4.402632928626959e-05,-0.000506912140268557
14,0.969,4.0,0.2,L14_archive,224,11.737216364,11.737216364,-3.337618516042892e-05,-0.00022598808638545472
14,1.0,4.0,0.2,L14_archive,224,14.512835416,14.512835416,6.4159708969412835e-06,-0.00023525462160764354
14,0.5,4.0,0.3,L14_archive,224,0.12696143,0.187413394,0.0002806663832009688,-0.00018758716981473169
14,0.582,4.0,0.3,L14_archive,224,0.140326629,0.230413609,-0.0007491515866314863,-0.0004092514598636386
14,0.622,4.0,0.3,L14_archive,224,0.15079933,0.28486211,0.0007837293120669245,2.205140454263264e-05
14,0.663,4.0,0.3,L14_archive,224,0.412768242,0.734387563,-0.0010334462652145902,-0.0006095710100881498
14,0.745,4.0,0.3,L14_archive,224,0.245929707,0.460377493,-0.001204844534037542,-4.5793739548861956e-05
14,0.827,4.0,0.3,L14_archive,224,0.27955177,0.416449209,0.0024491426750605774,-0.0023292721872399135
14,0.867,4.0,0.3,L14_archive,224,0.663066224,0.785639276,0.001332275902761934,0.0029233226222368574
14,1.0,4.0,0.3,L14_archive,224,10.846154547,10.846154547,-5.704626717198452e-07,4.0879721596821595e-05
14,0.5,4.0,0.4,L14_archive,224,0.115867884,0.530438131,0.0017693179490737927,0.0011614814942411766
14,0.582,4.0,0.4,L14_archive,224,0.136616508,0.35411711,-0.0027116354551501446,7.771553374458923e-05
14,0.622,4.0,0.4,L14_archive,224,0.132999499,0.302476101,0.0006177586656283997,0.00021016317920992598
14,0.704,4.0,0.4,L14_archive,224,0.701587555,0.84682667,-0.0025202989890623258,0.0003993626995076218
14,0.745,4.0,0.4,L14_archive,224,0.152486972,0.579854812,0.0011774084043254054,-7.159002942801791e-05
14,0.786,4.0,0.4,L14_archive,224,0.162334751,0.629591666,-0.004263116548883274,0.0002745485620813432
14,0.867,4.0,0.4,L14_archive,224,6.478750786,6.478750786,-4.015212398174664e-05,-0.0001898846073252945
14,0.908,4.0,0.4,L14_archive,224,6.619576007,6.619576007,-3.548623682959401e-05,0.00010547649692743391
14,0.949,4.0,0.4,L14_archive,224,4.93020698,4.93020698,-6.063413193065974e-05,-8.520735023004421e-05
14,0.99,4.0,0.4,L14_archive,224,2.707530337,2.707530337,3.3823110909459417e-05,-0.00012108132820949437
14,1.0,4.0,0.4,L14_archive,224,2.172876841,2.172876841,1.2715961208654783e-05,-0.0005894096953570488
14,1.0,4.5,0.1,Checkerboard_Model,224,19.435976957,19.435976957,-7.455559350184064e-06,0.00023125040518323894
14,1.0,4.5,0.2,Checkerboard_Model,224,17.809637086,17.809637086,0.00010614914765918555,-0.0003955979392091207
14,1.0,4.5,0.3,Checkerboard_Model,224,14.4833466,14.4833466,-3.836878060166236e-05,0.0015342115197995224
14,1.0,5.0,0.1,Checkerboard_Model,224,22.010771975,22.010771975,4.231206093275917e-05,-0.0004840150631425124
14,1.0,5.0,0.2,Checkerboard_Model,224,21.004757478,21.004757478,0.00010132474234432476,0.00022801222117553886
14,1.0,5.0,0.3,Checkerboard_Model,224,18.358611839,18.358611839,5.050525131782002e-05,-0.00016480904225105175
16,1.0,4.0,0.2,Checkerboard_Model,288,18.44507967,18.44507967,-4.662977260600541e-05,-0.00015788801922237786
16,1.0,4.0,0.3,Checkerboard_Model,288,13.394616146,13.394616146,-2.2146746613502206e-06,0.0012920970241580626
