L,nup,delta,U,seed,Spipi,m,M_raw,mdelta,Psi_dxy,Psi_dx2y2,chi_pipi,chi_pipi_err,n
12,36,0.5,4.0,1,0.11952441737455108,0.02881025297029098,0.34572303564349177,0.01440512648514549,-0.0006555647532454202,0.0002492000563169946,0.033856590123055155,0.0007091426291153082,0.5
12,36,0.5,4.0,2,0.11925592478390165,0.028777875952416127,0.3453345114289935,0.014388937976208063,-0.0005060372096235819,0.0003602151855310382,0.03360078745835373,0.0006442039796210423,0.5
12,36,0.5,4.0,3,0.12070566430861454,0.02895226726736499,0.3474272072083799,0.014476133633682496,-0.0005021143983199811,0.0006356076747198473,0.0344410792617505,0.000773147975089006,0.5
12,36,0.5,4.0,4,0.12300020697307948,0.029226154450760686,0.3507138534091282,0.014613077225380343,-0.0007655386284740319,0.0004792523451278486,0.035400836588696645,0.0007169331282250998,0.5
12,36,0.5,4.0,5,0.11798274313720684,0.028623846791084737,0.34348616149301686,0.014311923395542369,-0.0006444835746180089,0.00012919955125743744,0.03359928762981389,0.0006151992361538227,0.5
12,36,0.5,4.0,6,0.11755351072307677,0.028571731212263127,0.3428607745471575,0.014285865606131563,-0.0006325866316830205,0.0006529924209720539,0.0329498844659392,0.0007107726433820121,0.5
12,40,0.5,4.0,1,0.12770569268144794,0.02977994439325921,0.3573593327191105,0.014889972196629605,0.0001507104068816311,3.734064279387513e-05,0.035240151510209136,0.0010423519048108117,0.5555555555555556
12,40,0.5,4.0,2,0.1272761438834072,0.02972981853798369,0.3567578224558043,0.014864909268991845,0.00020443341866833629,-0.00010267584047065872,0.03590332104576665,0.0007473680285104136,0.5555555555555556
12,40,0.5,4.0,3,0.12742926000177943,0.02974769598942116,0.35697235187305393,0.01487384799471058,0.0001126967244823671,0.00012233798233401364,0.03574136573504244,0.0006744027743389708,0.5555555555555556
12,40,0.5,4.0,4,0.12714614731245125,0.029714632024248035,0.35657558429097647,0.014857316012124018,0.000463198796609748,-4.755576351301829e-05,0.03533572975136068,0.0006977302116265229,0.5555555555555556
12,40,0.5,4.0,5,0.12824376164774157,0.029842615135227617,0.35811138162273143,0.014921307567613808,0.0003715692998147978,-0.0002647464526806423,0.035439071437275135,0.0006930239288866753,0.5555555555555556
12,40,0.5,4.0,6,0.12781670229138598,0.02979288485753981,0.3575146182904777,0.014896442428769904,0.0001133899978803164,3.765844635230294e-05,0.035512885561884165,0.0007651367872269142,0.5555555555555556
12,48,0.5,4.0,1,0.13444598812313238,0.030555730973084744,0.36666877167701695,0.015277865486542372,0.0005497546647084759,-0.00022165757968420043,0.03258582426351584,0.0009312768507626485,0.6666666666666666
12,48,0.5,4.0,2,0.1337683297313358,0.03047862749937056,0.36574352999244675,0.01523931374968528,0.0008118941498072051,-0.00025277611654728194,0.032699111109350365,0.0007321505426065494,0.6666666666666666
12,48,0.5,4.0,3,0.13431223548529206,0.030540528114895958,0.36648633737875147,0.015270264057447979,0.0008790044691985642,0.00012750050717743846,0.03258155016560399,0.0009051796331802714,0.6666666666666666
12,48,0.5,4.0,4,0.13869258766396209,0.031034544783009557,0.3724145373961147,0.015517272391504779,0.0007505152518444225,3.834018474227177e-06,0.03398994800872104,0.0008524131277169,0.6666666666666666
12,48,0.5,4.0,5,0.13244896452507096,0.030327948758011123,0.36393538509613343,0.015163974379005562,0.0005542438859357029,-0.00020430089221558522,0.031493471277990244,0.000826997236660345,0.6666666666666666
12,48,0.5,4.0,6,0.133914599019507,0.030495286409394827,0.36594343691273795,0.015247643204697413,0.0008144779397027265,-0.00037143138803348114,0.032261587387710296,0.0006150699196773406,0.6666666666666666
12,56,0.5,4.0,1,0.15441020552022316,0.03274588667131245,0.3929506400557495,0.016372943335656226,-0.0004164653228929973,-0.0008724998700091499,0.04277178879706849,0.001207358562588619,0.7777777777777778
12,56,0.5,4.0,2,0.1512458658949942,0.032408617884132025,0.3889034146095843,0.016204308942066013,-0.00023986856152176123,-0.0006453715077343449,0.041775598879535594,0.0009580749055637441,0.7777777777777778
12,56,0.5,4.0,3,0.1564921623172833,0.03296590856025898,0.39559090272310776,0.01648295428012949,-0.0001932837365349392,-0.0003373983373180635,0.0436992389898992,0.001072570259699842,0.7777777777777778
12,56,0.5,4.0,4,0.15522421803383735,0.032832087331881823,0.3939850479825819,0.016416043665940912,-0.00024436494025734654,3.994665795833037e-06,0.042226920584734366,0.0011742313325101086,0.7777777777777778
12,56,0.5,4.0,5,0.1486479383420284,0.032129073276355474,0.3855488793162657,0.016064536638177737,-0.00011679523108549683,-0.0016421369156381465,0.04072297180736814,0.0010708136459408229,0.7777777777777778
12,56,0.5,4.0,6,0.1543597495813359,0.032740536120014034,0.39288643344016844,0.016370268060007017,-0.0004879585706582217,-0.0003520592357022234,0.04480188226888075,0.0012451452936400086,0.7777777777777778
12,64,0.5,4.0,1,0.1852710682540264,0.03586927153780741,0.43043125845368896,0.017934635768903705,-0.0011168313996588089,-0.00017646789960286248,0.056646885955061066,0.0017334772336709858,0.8888888888888888
12,64,0.5,4.0,2,0.1887738367997737,0.03620675934436346,0.4344811121323615,0.01810337967218173,-0.001108635710831322,-0.0005356556274134597,0.05875954707381129,0.0015418486413572186,0.8888888888888888
