nup,delta,seed,chi_d,chi_dxy,n
4,0.0,1,-1.7246370617091695,1.2456454694658268,0.2222222222222222
4,0.0,2,-2.204671340061557,2.186898263588277,0.2222222222222222
4,0.0,3,-0.9632563576832558,1.6716592993303607,0.2222222222222222
4,0.1,1,-1.5893115617208362,0.3351567611044131,0.2222222222222222
4,0.1,2,-0.9531696887195487,0.7894348357186086,0.2222222222222222
4,0.1,3,-0.047059259719498314,0.5594113317792958,0.2222222222222222
4,0.2,1,-1.206239969053899,-1.7383715922176726,0.2222222222222222
4,0.2,2,-0.8871462359388163,-2.1569982674181283,0.2222222222222222
4,0.2,3,-1.604058378666745,-2.867538415252647,0.2222222222222222
4,0.3,1,-1.854730618079503,-7.171972008690122,0.2222222222222222
4,0.3,2,-2.4907903469081076,-8.077398450158308,0.2222222222222222
4,0.3,3,-1.9808787060146553,-8.113096400986752,0.2222222222222222
4,0.4,1,-1.5160332683934858,-16.141224903623883,0.2222222222222222
4,0.4,2,-2.9036836592613655,-16.568968405686917,0.2222222222222222
4,0.4,3,-0.9025224417280449,-16.761183067276434,0.2222222222222222
6,0.0,1,-1.7455388645093535,-0.07668178200852535,0.3333333333333333
6,0.0,2,-1.8908974717716145,0.29967960812749533,0.3333333333333333
6,0.0,3,-1.917081613520779,0.09964309980357941,0.3333333333333333
6,0.1,1,-0.6280430249399748,1.0658527158684439,0.3333333333333333
6,0.1,2,-2.161352342614309,0.42722990125671717,0.3333333333333333
6,0.1,3,-1.882753455444797,0.3157187879625779,0.3333333333333333
6,0.2,1,-1.4480889314878673,-0.29875464023730297,0.3333333333333333
6,0.2,2,-1.3681595678039191,-1.0440856467409065,0.3333333333333333
6,0.2,3,-0.5999931091587718,-0.6973184319324742,0.3333333333333333
6,0.3,1,-2.2656000191134487,-4.162593983255541,0.3333333333333333
6,0.3,2,-1.9749616466347124,-4.672216521885675,0.3333333333333333
6,0.3,3,-2.3241352279197174,-4.079054186165919,0.3333333333333333
6,0.4,1,-2.5884159253471455,-9.040888282126033,0.3333333333333333
6,0.4,2,-1.1315124021161551,-7.445821750423923,0.3333333333333333
6,0.4,3,-1.3009380984556675,-7.633433911006722,0.3333333333333333
8,0.0,1,-1.0143726630524772,1.2237424150934086,0.4444444444444444
8,0.0,2,0.09312303337439612,1.1921142330120458,0.4444444444444444
8,0.0,3,-1.3106861320529553,0.8443453196382865,0.4444444444444444
8,0.1,1,-1.654506159643899,1.5842142856929602,0.4444444444444444
8,0.1,2,-2.046334717830934,2.235088072985518,0.4444444444444444
8,0.1,3,-1.2258008657732422,1.6865537996015043,0.4444444444444444
8,0.2,1,-1.8347016858952596,-0.4911276379858596,0.4444444444444444
8,0.2,2,-0.8098703711926941,0.05203877660441529,0.4444444444444444
8,0.2,3,-0.6223432609458778,0.012446772699149422,0.4444444444444444
8,0.3,1,-2.066587077250445,-1.3218381613051424,0.4444444444444444
8,0.3,2,-1.5775171413018436,-1.659526411876825,0.4444444444444444
8,0.3,3,-1.5992871868455079,-1.6441709900967723,0.4444444444444444
8,0.4,1,-1.7366519825915614,-3.49756878318705,0.4444444444444444
8,0.4,2,0.4069243972364404,-4.5097575269116605,0.4444444444444444
8,0.4,3,-1.8154280390853992,-3.3209058511222507,0.4444444444444444
10,0.0,1,0.21405469717280914,0.7054540156044202,0.5555555555555556
10,0.0,2,-0.051427503827251406,0.7192223190184566,0.5555555555555556
10,0.0,3,0.5906592191606794,0.6106518879264536,0.5555555555555556
10,0.1,1,-0.7995832994193266,0.3261952069175765,0.5555555555555556
10,0.1,2,-1.5759299862618432,0.48403755551382766,0.5555555555555556
10,0.1,3,0.09032898562215844,0.4290748829207948,0.5555555555555556
10,0.2,1,0.333932720642958,-0.3674715852720695,0.5555555555555556
10,0.2,2,0.9053753810876899,-0.6183919882821174,0.5555555555555556
10,0.2,3,0.9251052465432597,0.04751733941772267,0.5555555555555556
10,0.3,1,0.6532032014858347,-1.424545676906094,0.5555555555555556
10,0.3,2,0.8416801227877734,-1.5026001595121863,0.5555555555555556
10,0.3,3,-0.4131196596170111,-1.6237123472935988,0.5555555555555556
10,0.4,1,-0.7868554198701769,-3.5954338860419073,0.5555555555555556
10,0.4,2,-0.4738476671019368,-5.008122669578407,0.5555555555555556
10,0.4,3,-0.5026127536843197,-3.7015584492839304,0.5555555555555556
12,0.0,1,0.7795075187774582,-0.03494932674755018,0.6666666666666666
12,0.0,2,1.159765762903591,0.1403264753014361,0.6666666666666666
12,0.0,3,0.6990006356425272,-0.17271522748421841,0.6666666666666666
12,0.1,1,0.5245670645031973,-0.24364643644689515,0.6666666666666666
12,0.1,2,0.30178807546201253,-0.2811354786793029,0.6666666666666666
12,0.1,3,0.665231121557125,-0.17453222692353773,0.6666666666666666
12,0.2,1,1.4273085692146967,-1.1425750599182944,0.6666666666666666
12,0.2,2,1.763489515263575,-0.9810919090978636,0.6666666666666666
12,0.2,3,0.6919590110373552,-0.9239126245234643,0.6666666666666666
12,0.3,1,0.24116283170501568,-2.173878607501796,0.6666666666666666
12,0.3,2,-0.26481963758372784,-2.252743758328486,0.6666666666666666
12,0.3,3,0.2967922213016799,-2.3673460947911473,0.6666666666666666
12,0.4,1,0.49298999762103046,-4.1765117580445095,0.6666666666666666
12,0.4,2,0.5595499096148389,-3.521833847768895,0.6666666666666666
12,0.4,3,0.2595027156812996,-4.91852267471196,0.6666666666666666
14,0.0,1,0.6009449916847955,-0.2433559053752509,0.7777777777777778
14,0.0,2,0.46989990343054533,-0.3417730060370311,0.7777777777777778
14,0.0,3,0.23258094761143858,-0.22045779989940262,0.7777777777777778
14,0.1,1,0.623562654546261,-0.5106089810961751,0.7777777777777778
14,0.1,2,0.3143042412557511,-0.2081428680492265,0.7777777777777778
14,0.1,3,0.48677562354988757,-0.5884451777237854,0.7777777777777778
14,0.2,1,0.5944692925370998,-1.1949261127706117,0.7777777777777778
14,0.2,2,0.6295729678099955,-1.2063094481660959,0.7777777777777778
14,0.2,3,0.36833604143573623,-1.082644300605006,0.7777777777777778
14,0.3,1,0.7633706904802116,-2.101453158835059,0.7777777777777778
14,0.3,2,1.0842827550243612,-2.4150765501150695,0.7777777777777778
14,0.3,3,1.1556406142656748,-1.6656734557441688,0.7777777777777778
14,0.4,1,1.0253915538243468,-2.0721619040217023,0.7777777777777778
14,0.4,2,0.8114134085102058,-2.0569866845076388,0.7777777777777778
14,0.4,3,0.8276408916529739,-2.0017246199529115,0.7777777777777778
16,0.0,1,0.7100979039153871,-0.16891273581359117,0.8888888888888888
16,0.0,2,0.7691918150318608,-0.23745615643199952,0.8888888888888888
16,0.0,3,0.7385012497926444,-0.10466235903220963,0.8888888888888888
16,0.1,1,0.7990272211461723,-0.41719467375849045,0.8888888888888888
16,0.1,2,0.61697088705474,-0.08770629343730504,0.8888888888888888
16,0.1,3,0.7569380679664721,-0.26256772373104426,0.8888888888888888
16,0.2,1,0.6852240148108557,-1.1226197047086595,0.8888888888888888
16,0.2,2,0.7272251673075398,-0.9428723051962191,0.8888888888888888
16,0.2,3,0.6024088059849939,-0.9218669083281498,0.8888888888888888
16,0.3,1,0.7934224665376272,-0.7716243008545668,0.8888888888888888
16,0.3,2,1.5335244502458063,-0.6949658150860611,0.8888888888888888
16,0.3,3,0.9212366289783267,-0.730748369529141,0.8888888888888888
16,0.4,1,0.6683311656742457,-0.48382283271649884,0.8888888888888888
16,0.4,2,0.7997981881466878,-0.29679580265950245,0.8888888888888888
16,0.4,3,0.7299288138410862,-0.6075254504751838,0.8888888888888888
18,0.0,1,1.026081059750218,0.15318388726620674,1.0
18,0.0,2,0.921774987568147,0.23772854326228887,1.0
18,0.0,3,0.6086410936936459,0.21063437225163248,1.0
18,0.1,1,0.6495113462630704,1.5127767194906672,1.0
18,0.1,2,0.5436303120161405,1.5516236138377684,1.0
18,0.1,3,0.4658123356785649,1.5286597335733016,1.0
18,0.2,1,0.47079180854081476,0.9914858472806973,1.0
18,0.2,2,0.45513397603768146,0.9636499363486681,1.0
18,0.2,3,0.49524704069520753,1.008113790489102,1.0
18,0.3,1,0.42732441412050315,0.8496695126687579,1.0
18,0.3,2,0.43507523469516884,0.9260459239662613,1.0
