U,nup,delta,seed,Spipi,M,n
0.0,4,0.0,1,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.0,2,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.0,3,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.1,1,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.1,2,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.1,3,0.05555555555555558,0.2357022603955159,0.2222222222222222
0.0,4,0.2,1,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,4,0.2,2,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,4,0.2,3,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,4,0.3,1,0.05555555555555556,0.23570226039551584,0.2222222222222222
0.0,4,0.3,2,0.05555555555555556,0.23570226039551584,0.2222222222222222
0.0,4,0.3,3,0.05555555555555556,0.23570226039551584,0.2222222222222222
0.0,4,0.4,1,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,4,0.4,2,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,4,0.4,3,0.055555555555555546,0.2357022603955158,0.2222222222222222
0.0,6,0.0,1,0.08333333333333336,0.2886751345948129,0.3333333333333333
0.0,6,0.0,2,0.08333333333333336,0.2886751345948129,0.3333333333333333
0.0,6,0.0,3,0.08333333333333336,0.2886751345948129,0.3333333333333333
0.0,6,0.1,1,0.08323562234292128,0.2885058445559141,0.3333333333333333
0.0,6,0.1,2,0.08323562234292128,0.2885058445559141,0.3333333333333333
0.0,6,0.1,3,0.08323562234292128,0.2885058445559141,0.3333333333333333
0.0,6,0.2,1,0.08323864433409078,0.28851108182198265,0.3333333333333333
0.0,6,0.2,2,0.08323864433409078,0.28851108182198265,0.3333333333333333
0.0,6,0.2,3,0.08323864433409078,0.28851108182198265,0.3333333333333333
0.0,6,0.3,1,0.08327818310488899,0.28857959578752096,0.3333333333333333
0.0,6,0.3,2,0.08327818310488899,0.28857959578752096,0.3333333333333333
0.0,6,0.3,3,0.08327818310488899,0.28857959578752096,0.3333333333333333
0.0,6,0.4,1,0.08298808871279095,0.28807653273529754,0.3333333333333333
0.0,6,0.4,2,0.08298808871279095,0.28807653273529754,0.3333333333333333
0.0,6,0.4,3,0.08298808871279095,0.28807653273529754,0.3333333333333333
0.0,8,0.0,1,0.11111111111111108,0.33333333333333326,0.4444444444444444
0.0,8,0.0,2,0.11111111111111108,0.33333333333333326,0.4444444444444444
0.0,8,0.0,3,0.11111111111111108,0.33333333333333326,0.4444444444444444
0.0,8,0.1,1,0.11032930415476028,0.3321585527346244,0.4444444444444444
0.0,8,0.1,2,0.11032930415476028,0.3321585527346244,0.4444444444444444
0.0,8,0.1,3,0.11032930415476028,0.3321585527346244,0.4444444444444444
0.0,8,0.2,1,0.10862123008752118,0.3295773506895175,0.4444444444444444
0.0,8,0.2,2,0.10862123008752118,0.3295773506895175,0.4444444444444444
0.0,8,0.2,3,0.10862123008752118,0.3295773506895175,0.4444444444444444
0.0,8,0.3,1,0.10603948939523436,0.32563705163146645,0.4444444444444444
0.0,8,0.3,2,0.10603948939523436,0.32563705163146645,0.4444444444444444
0.0,8,0.3,3,0.10603948939523436,0.32563705163146645,0.4444444444444444
0.0,8,0.4,1,0.10111889472705779,0.31799197273996993,0.4444444444444444
0.0,8,0.4,2,0.10111889472705779,0.31799197273996993,0.4444444444444444
0.0,8,0.4,3,0.10111889472705779,0.31799197273996993,0.4444444444444444
0.0,10,0.0,1,0.1388888888888888,0.37267799624996484,0.5555555555555556
0.0,10,0.0,2,0.1388888888888888,0.37267799624996484,0.5555555555555556
0.0,10,0.0,3,0.1388888888888888,0.37267799624996484,0.5555555555555556
0.0,10,0.1,1,0.13766639500135824,0.3710342234907155,0.5555555555555556
0.0,10,0.1,2,0.13766639500135824,0.3710342234907155,0.5555555555555556
0.0,10,0.1,3,0.13766639500135824,0.3710342234907155,0.5555555555555556
0.0,10,0.2,1,0.1343017329255861,0.3664720083793387,0.5555555555555556
0.0,10,0.2,2,0.1343017329255861,0.3664720083793387,0.5555555555555556
0.0,10,0.2,3,0.1343017329255861,0.3664720083793387,0.5555555555555556
0.0,10,0.3,1,0.1295333795333794,0.35990745968009524,0.5555555555555556
0.0,10,0.3,2,0.1295333795333794,0.35990745968009524,0.5555555555555556
0.0,10,0.3,3,0.1295333795333794,0.35990745968009524,0.5555555555555556
0.0,10,0.4,1,0.12418300653594772,0.35239609324728294,0.5555555555555556
0.0,10,0.4,2,0.12418300653594772,0.35239609324728294,0.5555555555555556
0.0,10,0.4,3,0.12418300653594772,0.35239609324728294,0.5555555555555556
0.0,12,0.0,1,0.16666666666666674,0.40824829046386313,0.6666666666666666
0.0,12,0.0,2,0.16666666666666674,0.40824829046386313,0.6666666666666666
0.0,12,0.0,3,0.16666666666666674,0.40824829046386313,0.6666666666666666
0.0,12,0.1,1,0.16544417277913598,0.4067482916732853,0.6666666666666666
0.0,12,0.1,2,0.16544417277913598,0.4067482916732853,0.6666666666666666
0.0,12,0.1,3,0.16544417277913598,0.4067482916732853,0.6666666666666666
0.0,12,0.2,1,0.16207951070336377,0.40259099679869115,0.6666666666666666
0.0,12,0.2,2,0.16207951070336377,0.40259099679869115,0.6666666666666666
0.0,12,0.2,3,0.16207951070336377,0.40259099679869115,0.6666666666666666
0.0,12,0.3,1,0.15731115731115722,0.3966247058759164,0.6666666666666666
0.0,12,0.3,2,0.15731115731115722,0.3966247058759164,0.6666666666666666
0.0,12,0.3,3,0.15731115731115722,0.3966247058759164,0.6666666666666666
0.0,12,0.4,1,0.1519607843137256,0.3898214774915892,0.6666666666666666
0.0,12,0.4,2,0.1519607843137256,0.3898214774915892,0.6666666666666666
0.0,12,0.4,3,0.1519607843137256,0.3898214774915892,0.6666666666666666
0.0,14,0.0,1,0.18055555555555547,0.42491829279939863,0.7777777777777778
0.0,14,0.0,2,0.18055555555555547,0.42491829279939863,0.7777777777777778
0.0,14,0.0,3,0.18055555555555547,0.42491829279939863,0.7777777777777778
0.0,14,0.1,1,0.17933306166802504,0.4234773449288935,0.7777777777777778
0.0,14,0.1,2,0.17933306166802504,0.4234773449288935,0.7777777777777778
0.0,14,0.1,3,0.17933306166802504,0.4234773449288935,0.7777777777777778
0.0,14,0.2,1,0.1759683995922528,0.4194858753191254,0.7777777777777778
0.0,14,0.2,2,0.1759683995922528,0.4194858753191254,0.7777777777777778
0.0,14,0.2,3,0.1759683995922528,0.4194858753191254,0.7777777777777778
0.0,14,0.3,1,0.18160461271090342,0.42615092715011593,0.7777777777777778
0.0,14,0.3,2,0.18160461271090342,0.42615092715011593,0.7777777777777778
0.0,14,0.3,3,0.18160461271090342,0.42615092715011593,0.7777777777777778
0.0,14,0.4,1,0.17612661934249058,0.41967442064353955,0.7777777777777778
0.0,14,0.4,2,0.17612661934249058,0.41967442064353955,0.7777777777777778
0.0,14,0.4,3,0.17612661934249058,0.41967442064353955,0.7777777777777778
0.0,16,0.0,1,0.18552163917844183,0.43072222972403207,0.8888888888888888
0.0,16,0.0,2,0.18552163917844183,0.43072222972403207,0.8888888888888888
0.0,16,0.0,3,0.18552163917844183,0.43072222972403207,0.8888888888888888
0.0,16,0.1,1,0.17933306166802507,0.42347734492889355,0.8888888888888888
0.0,16,0.1,2,0.17933306166802507,0.42347734492889355,0.8888888888888888
0.0,16,0.1,3,0.17933306166802507,0.42347734492889355,0.8888888888888888
0.0,16,0.2,1,0.17667315943742054,0.42032506401286673,0.8888888888888888
0.0,16,0.2,2,0.17667315943742054,0.42032506401286673,0.8888888888888888
0.0,16,0.2,3,0.17667315943742054,0.42032506401286673,0.8888888888888888
0.0,16,0.3,1,0.1899644169052622,0.4358490758338971,0.8888888888888888
0.0,16,0.3,2,0.1899644169052622,0.4358490758338971,0.8888888888888888
0.0,16,0.3,3,0.1899644169052622,0.4358490758338971,0.8888888888888888
0.0,16,0.4,1,0.1658496732026142,0.40724645265811,0.8888888888888888
0.0,16,0.4,2,0.1658496732026142,0.40724645265811,0.8888888888888888
0.0,16,0.4,3,0.1658496732026142,0.40724645265811,0.8888888888888888
0.0,18,0.0,1,0.19597561861184037,0.44269133559607915,1.0
0.0,18,0.0,2,0.19597561861184037,0.44269133559607915,1.0
0.0,18,0.0,3,0.19597561861184037,0.44269133559607915,1.0
0.0,18,0.1,1,0.19212941430905867,0.438325694329067,1.0
0.0,18,0.1,2,0.19212941430905867,0.438325694329067,1.0
0.0,18,0.1,3,0.19212941430905867,0.438325694329067,1.0
0.0,18,0.2,1,0.18398524876570813,0.4289350169497801,1.0
0.0,18,0.2,2,0.18398524876570813,0.4289350169497801,1.0
0.0,18,0.2,3,0.18398524876570813,0.4289350169497801,1.0
0.0,18,0.3,1,0.1791450966970371,0.42325535637134837,1.0
0.0,18,0.3,2,0.1791450966970371,0.42325535637134837,1.0
0.0,18,0.3,3,0.1791450966970371,0.42325535637134837,1.0
0.0,18,0.4,1,0.1658496732026142,0.40724645265811,1.0
0.0,18,0.4,2,0.1658496732026142,0.40724645265811,1.0
0.0,18,0.4,3,0.1658496732026142,0.40724645265811,1.0
2.0,4,0.0,1,0.05629825364859633,0.23727253032872628,0.2222222222222222
2.0,4,0.0,2,0.05632543684757685,0.23732980606653023,0.2222222222222222
2.0,4,0.0,3,0.05632070086705528,0.23731982822144315,0.2222222222222222
2.0,4,0.1,1,0.05621466527787725,0.23709632067553738,0.2222222222222222
2.0,4,0.1,2,0.05627755788613524,0.2372289145237891,0.2222222222222222
2.0,4,0.1,3,0.056232234148622294,0.23713336785155795,0.2222222222222222
2.0,4,0.2,1,0.05607694906462472,0.23680572008425962,0.2222222222222222
2.0,4,0.2,2,0.056236453364516624,0.23714226397780008,0.2222222222222222
2.0,4,0.2,3,0.05626001770324464,0.23719194274520505,0.2222222222222222
2.0,4,0.3,1,0.05613219918549389,0.23692234842980492,0.2222222222222222
2.0,4,0.3,2,0.05619191497983159,0.23704833890966542,0.2222222222222222
2.0,4,0.3,3,0.05614483033955172,0.23694900366862007,0.2222222222222222
2.0,4,0.4,1,0.05600730449313758,0.23665862437937388,0.2222222222222222
2.0,4,0.4,2,0.055953710726954056,0.236545367164428,0.2222222222222222
2.0,4,0.4,3,0.0559558428898263,0.23654987400086752,0.2222222222222222
2.0,6,0.0,1,0.08522115272432532,0.2919266221575643,0.3333333333333333
2.0,6,0.0,2,0.0853765363976415,0.2921926357690103,0.3333333333333333
2.0,6,0.0,3,0.08517234273033676,0.29184301041884964,0.3333333333333333
2.0,6,0.1,1,0.08514730588383637,0.29180011289208985,0.3333333333333333
2.0,6,0.1,2,0.08500340811642965,0.2915534395551348,0.3333333333333333
2.0,6,0.1,3,0.08510214510966664,0.2917227195637437,0.3333333333333333
2.0,6,0.2,1,0.0849646132850159,0.2914869007091329,0.3333333333333333
2.0,6,0.2,2,0.08540604962634535,0.29224313443833944,0.3333333333333333
2.0,6,0.2,3,0.08503791517865303,0.29161261148766016,0.3333333333333333
2.0,6,0.3,1,0.08561091256968753,0.29259342536989363,0.3333333333333333
2.0,6,0.3,2,0.08554285277775073,0.29247709786879167,0.3333333333333333
2.0,6,0.3,3,0.08553429057367899,0.2924624601101464,0.3333333333333333
2.0,6,0.4,1,0.08572143275815466,0.2927822275312398,0.3333333333333333
2.0,6,0.4,2,0.0855034539882052,0.2924097364798327,0.3333333333333333
2.0,6,0.4,3,0.08522966431647308,0.2919412001011044,0.3333333333333333
2.0,8,0.0,1,0.1147453288597569,0.3387407989300328,0.4444444444444444
2.0,8,0.0,2,0.11608428685810712,0.3407114422177616,0.4444444444444444
2.0,8,0.0,3,0.11484694349082183,0.33889075450773487,0.4444444444444444
