folder,L,U,tA,tt,NUP,NDN,E_used,ms_used,E_best,ms_best,gap,best_seed,verdict,n,delta,half,dms
L8n1.000u0tA-0.3000tt0.3N32,8.0,0.0,-0.3,0.3,32.0,32.0,-115.118808,0.0,-115.118808,0.0,0.0,neel,OK,1.0,0.3,True,0.0
L8n1.000u2tA-0.1000tt0.3N32,8.0,2.0,-0.1,0.3,32.0,32.0,-74.569953,0.3133,-74.658169,0.0664,0.088216,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.2469
L8n1.000u5tA-0.4000tt0.3N32,8.0,5.0,-0.4,0.3,32.0,32.0,-45.966707,0.7225,-45.966707,0.7225,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u0tA-0.5000tt0.3N50,10.0,0.0,-0.5,0.3,50.0,50.0,-200.0,0.0,-200.0,0.0,-0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u0tA-0.7000tt0.3N50,10.0,0.0,-0.7,0.3,50.0,50.0,-222.956021,0.0,-222.956021,0.0,-0.0,neel,OK,1.0,0.7,True,0.0
L8n1.000u3.5tA-0.7000tt0.3N32,8.0,3.5,-0.7,0.3,32.0,32.0,-86.742903,0.0928,-86.742903,0.0928,-0.0,neel,OK,1.0,0.7,True,0.0
L10n1.000u2tA-0.2000tt0.3N50,10.0,2.0,-0.2,0.3,50.0,50.0,-122.234949,0.0474,-122.234959,0.0473,1e-05,random,OK,1.0,0.2,True,9.999999999999593e-05
L8n1.000u3tA-0.1000tt0.3N32,8.0,3.0,-0.1,0.3,32.0,32.0,-60.818637,0.5684,-60.942586,0.4547,0.123949,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.11370000000000002
L8n1.000u4tA-0.6000tt0.3N32,8.0,4.0,-0.6,0.3,32.0,32.0,-71.410373,0.1326,-71.410373,0.1326,0.0,neel,OK,1.0,0.6,True,0.0
L10n1.000u4.5tA-0.2000tt0.3N50,10.0,4.5,-0.2,0.3,50.0,50.0,-74.6518,0.7197,-74.6518,0.7197,0.0,neel,OK,1.0,0.2,True,0.0
L8n1.000u3tA-0.6000tt0.3N32,8.0,3.0,-0.6,0.3,32.0,32.0,-87.241616,0.0773,-87.241616,0.0773,0.0,neel,OK,1.0,0.6,True,0.0
L10n1.000u4tA-0.4000tt0.3N50,10.0,4.0,-0.4,0.3,50.0,50.0,-90.123516,0.3954,-90.123516,0.3954,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u4tA-0.5000tt0.3N50,10.0,4.0,-0.5,0.3,50.0,50.0,-100.31237,0.1292,-100.31237,0.1292,-0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u3.5tA-0.7000tt0.3N50,10.0,3.5,-0.7,0.3,50.0,50.0,-135.580915,0.0694,-135.580915,0.0693,0.0,random,OK,1.0,0.7,True,0.00010000000000000286
L10n1.000u2tA-0.1000tt0.3N50,10.0,2.0,-0.1,0.3,50.0,50.0,-117.075219,0.2426,-117.157961,0.0913,0.082742,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.1,True,0.1513
L10n1.000u5tA-0.6000tt0.3N50,10.0,5.0,-0.6,0.3,50.0,50.0,-86.35006,0.4035,-87.001233,0.1872,0.651173,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.6,True,0.21630000000000002
L10n1.000u4tA-0.7000tt0.3N50,10.0,4.0,-0.7,0.3,50.0,50.0,-123.164236,0.0948,-123.164236,0.0948,0.0,neel,OK,1.0,0.7,True,0.0
L8n1.000u3.5tA-0.3000tt0.3N32,8.0,3.5,-0.3,0.3,32.0,32.0,-59.256238,0.4617,-59.6378,0.1424,0.381562,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.31930000000000003
L10n1.000u5tA-0.7000tt0.3N50,10.0,5.0,-0.7,0.3,50.0,50.0,-98.577561,0.161,-98.577561,0.161,0.0,neel,OK,1.0,0.7,True,0.0
L10n1.000u4.5tA-0.3000tt0.3N50,10.0,4.5,-0.3,0.3,50.0,50.0,-76.162449,0.6953,-76.162449,0.6953,-0.0,neel,OK,1.0,0.3,True,0.0
L8n1.000u5tA-0.6000tt0.3N32,8.0,5.0,-0.6,0.3,32.0,32.0,-53.783515,0.5104,-55.911695,0.2201,2.12818,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.6,True,0.2903
L8n1.000u0tA-0.5000tt0.3N32,8.0,0.0,-0.5,0.3,32.0,32.0,-128.0,0.0,-128.0,0.0,0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u0tA-0.4000tt0.3N50,10.0,0.0,-0.4,0.3,50.0,50.0,-189.488746,0.0,-189.488746,0.0,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u3.5tA-0.6000tt0.3N50,10.0,3.5,-0.6,0.3,50.0,50.0,-123.845071,0.0768,-123.845071,0.0768,0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u4tA-0.1000tt0.3N32,8.0,4.0,-0.1,0.3,32.0,32.0,-51.206238,0.6872,-51.206238,0.6872,-0.0,neel,OK,1.0,0.1,True,0.0
L8n1.000u2tA-0.6000tt0.3N32,8.0,2.0,-0.6,0.3,32.0,32.0,-103.17697,0.0521,-103.17697,0.0521,0.0,neel,OK,1.0,0.6,True,0.0
L10n1.000u5tA-0.4000tt0.3N50,10.0,5.0,-0.4,0.3,50.0,50.0,-72.0069,0.7155,-72.0069,0.7155,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u3tA-0.6000tt0.3N50,10.0,3.0,-0.6,0.3,50.0,50.0,-136.290655,0.0563,-136.290655,0.0563,0.0,neel,OK,1.0,0.6,True,0.0
L8n1.000u3tA-0.3000tt0.3N32,8.0,3.0,-0.3,0.3,32.0,32.0,-67.439483,0.0994,-67.439483,0.0994,0.0,neel,OK,1.0,0.3,True,0.0
L8n1.000u3tA-0.4000tt0.3N32,8.0,3.0,-0.4,0.3,32.0,32.0,-73.430814,0.0913,-73.430814,0.0913,-0.0,neel,OK,1.0,0.4,True,0.0
L10n1.000u4.5tA-0.6000tt0.3N50,10.0,4.5,-0.6,0.3,50.0,50.0,-99.153083,0.1462,-99.153083,0.1462,-0.0,neel,OK,1.0,0.6,True,0.0
L10n1.000u5tA-0.1000tt0.3N50,10.0,5.0,-0.1,0.3,50.0,50.0,-68.397138,0.7698,-68.397138,0.7698,-0.0,neel,OK,1.0,0.1,True,0.0
L10n1.000u4.5tA-0.1000tt0.3N50,10.0,4.5,-0.1,0.3,50.0,50.0,-73.835155,0.732,-73.835155,0.732,0.0,neel,OK,1.0,0.1,True,0.0
L10n1.000u4.5tA-0.4000tt0.3N50,10.0,4.5,-0.4,0.3,50.0,50.0,-78.628212,0.6531,-79.985167,0.4744,1.356956,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.17870000000000003
L8n1.000u4tA-0.3000tt0.3N32,8.0,4.0,-0.3,0.3,32.0,32.0,-53.027648,0.6452,-53.027648,0.6452,-0.0,neel,OK,1.0,0.3,True,0.0
L10n1.000u3tA-0.2000tt0.3N50,10.0,3.0,-0.2,0.3,50.0,50.0,-98.679116,0.3596,-98.679139,0.3596,2.3e-05,random,OK,1.0,0.2,True,0.0
L10n1.000u3.5tA-0.4000tt0.3N50,10.0,3.5,-0.4,0.3,50.0,50.0,-100.988528,0.3292,-102.200923,0.1101,1.212395,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.4,True,0.2191
L10n1.000u5tA-0.3000tt0.3N50,10.0,5.0,-0.3,0.3,50.0,50.0,-70.164386,0.7448,-70.164386,0.7448,0.0,neel,OK,1.0,0.3,True,0.0
L10n1.000u2tA-0.3000tt0.3N50,10.0,2.0,-0.3,0.3,50.0,50.0,-129.98518,0.0416,-129.985178,0.0415,-2e-06,pm,OK,1.0,0.3,True,9.999999999999593e-05
L10n1.000u2tA-0.5000tt0.3N50,10.0,2.0,-0.5,0.3,50.0,50.0,-150.036891,0.0369,-150.036891,0.0369,0.0,neel,OK,1.0,0.5,True,0.0
L10n1.000u4tA-0.3000tt0.3N50,10.0,4.0,-0.3,0.3,50.0,50.0,-83.130727,0.6324,-83.223823,0.4592,0.093096,random,WORSE_TRIAL_DIFFERENT_ORDER,1.0,0.3,True,0.17319999999999997
L8n1.000u4.5tA-0.1000tt0.3N32,8.0,4.5,-0.1,0.3,32.0,32.0,-47.247902,0.7327,-47.247902,0.7327,-0.0,neel,OK,1.0,0.1,True,0.0
L8n1.000u4.5tA-0.7000tt0.3N32,8.0,4.5,-0.7,0.3,32.0,32.0,-70.987106,0.1569,-70.987106,0.1569,0.0,neel,OK,1.0,0.7,True,0.0
L8n1.000u0tA-0.4000tt0.3N32,8.0,0.0,-0.4,0.3,32.0,32.0,-121.292334,0.0,-121.292334,0.0,0.0,neel,OK,1.0,0.4,True,0.0
L8n1.000u0tA-0.1000tt0.3N32,8.0,0.0,-0.1,0.3,32.0,32.0,-106.559443,0.0,-106.559443,0.0,0.0,neel,OK,1.0,0.1,True,0.0
L8n1.000u4tA-0.7000tt0.3N32,8.0,4.0,-0.7,0.3,32.0,32.0,-78.833286,0.1207,-78.833286,0.1207,0.0,random,OK,1.0,0.7,True,0.0
