apx,U,delta,seed,chi_d,chi_dxy,M,n
-1,0.0,0.0,1,-5.2340354272928386e-14,3.2029934260435768e-15,0.5,1.0
-1,0.0,0.0,2,-5.2340354272928386e-14,3.2029934260435768e-15,0.5,1.0
-1,0.0,0.0,3,-5.2340354272928386e-14,3.2029934260435768e-15,0.5,1.0
-1,0.0,0.1,1,-5.4027893270358616e-14,7.69273533762771e-15,0.49079532639864293,1.0
-1,0.0,0.1,2,-5.4027893270358616e-14,7.69273533762771e-15,0.49079532639864293,1.0
-1,0.0,0.1,3,-5.4027893270358616e-14,7.69273533762771e-15,0.49079532639864293,1.0
-1,0.0,0.2,1,2.6774138461860278e-14,6.126765761393928e-15,0.4700412472229572,1.0
-1,0.0,0.2,2,2.6774138461860278e-14,6.126765761393928e-15,0.4700412472229572,1.0
-1,0.0,0.2,3,2.6774138461860278e-14,6.126765761393928e-15,0.4700412472229572,1.0
-1,0.0,0.3,1,-2.808864252301646e-14,-1.6977530492567896e-14,0.4478857167292716,1.0
-1,0.0,0.3,2,-2.808864252301646e-14,-1.6977530492567896e-14,0.4478857167292716,1.0
-1,0.0,0.3,3,-2.808864252301646e-14,-1.6977530492567896e-14,0.4478857167292716,1.0
-1,0.0,0.4,1,-2.7373658895157863e-14,-4.437561429426751e-15,0.42879387464816576,1.0
-1,0.0,0.4,2,-2.7373658895157863e-14,-4.437561429426751e-15,0.42879387464816576,1.0
-1,0.0,0.4,3,-2.7373658895157863e-14,-4.437561429426751e-15,0.42879387464816576,1.0
-1,2.0,0.0,1,1.8732443084438835,-0.11501873981068766,0.6201956302755335,1.0
-1,2.0,0.0,2,1.8629115914312178,-0.13045214520066975,0.6281355508040268,1.0
-1,2.0,0.0,3,1.9998013378583248,-0.15255205736937846,0.6240259858136127,1.0
-1,2.0,0.1,1,1.5940403407079082,0.027411175140176575,0.5990642382937795,1.0
-1,2.0,0.1,2,1.4718678820325626,0.017461146393692596,0.6037380314482782,1.0
-1,2.0,0.1,3,1.767319451339565,-0.009518357041270872,0.6132796067112113,1.0
-1,2.0,0.2,1,1.2418205006571594,0.24016852970375316,0.552298853374186,1.0
-1,2.0,0.2,2,1.3353399885404151,0.2433998274189463,0.5577896567980499,1.0
-1,2.0,0.2,3,1.3652244295087732,0.24330006490730055,0.5570884354901027,1.0
-1,2.0,0.3,1,1.2482230471993647,0.36147080566628154,0.5119921129637819,1.0
-1,2.0,0.3,2,1.0791379844044922,0.36255058488031333,0.5106064581217339,1.0
-1,2.0,0.3,3,1.1574899588111025,0.35696911227464956,0.5134927684607581,1.0
-1,2.0,0.4,1,1.1076231257330744,0.3636445786767658,0.47754588909966833,1.0
-1,2.0,0.4,2,1.1191643710504544,0.3714626968654108,0.4805624926620315,1.0
-1,2.0,0.4,3,1.0862060745114779,0.37009017211169637,0.47738466798752843,1.0
-1,4.0,0.0,1,2.5003001099083333,-0.6721951321813163,0.940676569858453,1.0
-1,4.0,0.0,2,2.5785415827671847,-0.5838901356693161,0.8842162208007178,1.0
-1,4.0,0.0,3,2.612185917818478,-0.6431443423804496,0.9037122067681311,1.0
-1,4.0,0.1,1,2.184669943016457,-0.3119701970184181,0.8353983750021666,1.0
-1,4.0,0.1,2,2.1337880337430697,-0.34570610707054267,0.8573541849879013,1.0
-1,4.0,0.1,3,2.165609975902737,-0.3211234036440187,0.8200847205310103,1.0
-1,4.0,0.2,1,1.583482040442644,0.2868307616650834,0.7022212672182736,1.0
-1,4.0,0.2,2,1.58248453293605,0.2506475282216276,0.6903792197506627,1.0
-1,4.0,0.2,3,1.630777561296781,0.17988315103746685,0.7061847115419796,1.0
-1,4.0,0.3,1,1.181144596817218,0.6209039841618792,0.6054936226829214,1.0
-1,4.0,0.3,2,1.2194588574811351,0.5930908821635832,0.591672475458232,1.0
-1,4.0,0.3,3,1.2376513963143165,0.5633645392341794,0.5954246921611103,1.0
-1,4.0,0.4,1,1.173297657487432,0.6922788115508036,0.5288371754686758,1.0
-1,4.0,0.4,2,1.1185498403048602,0.6942180174434514,0.5346995215813641,1.0
-1,4.0,0.4,3,1.1040745642479106,0.713184006769622,0.5341893880802016,1.0
-1,6.0,0.0,1,1.9307344919166227,-0.6648438774307805,1.264792665222288,1.0
-1,6.0,0.0,2,1.9866537124918906,-0.6455471425790903,1.3421805975322758,1.0
-1,6.0,0.0,3,2.118129955633536,-0.8035371124574565,1.3626325698330926,1.0
-1,6.0,0.1,1,2.1238062345384536,-0.7653319264055958,1.1477895132726528,1.0
-1,6.0,0.1,2,2.073764169199636,-0.5818273269739646,1.2130308643122,1.0
-1,6.0,0.1,3,2.004597264986919,-0.6520430807696801,1.1196798614850862,1.0
-1,6.0,0.2,1,1.7071454892451012,-0.20076241884903667,1.108564891900456,1.0
-1,6.0,0.2,2,1.7001337613899832,-0.16982053947327885,0.9860382456342698,1.0
-1,6.0,0.2,3,1.651793979784604,-0.1688003476513041,0.9983569899394837,1.0
-1,6.0,0.3,1,1.209755678629846,0.44174101224937773,0.722864944292124,1.0
-1,6.0,0.3,2,1.3142751995366717,0.4948940771786786,0.8030223346086892,1.0
-1,6.0,0.3,3,1.256247696082792,0.3921089189361292,0.7998617786114948,1.0
-1,6.0,0.4,1,1.1088247105820772,0.8010010503417666,0.6272406045616902,1.0
-1,6.0,0.4,2,1.0712038453462163,0.8086102225771021,0.599251385781339,1.0
-1,6.0,0.4,3,0.9651620260237805,0.869432120575534,0.622437562157889,1.0
-1,8.0,0.0,1,1.6127845366682045,-0.5592359515459282,1.675701986760637,1.0
-1,8.0,0.0,2,1.9945400108053826,-0.6742377304744931,1.200090419792067,1.0
-1,8.0,0.0,3,1.648444843804182,-0.7650253714209525,1.474500047268861,1.0
-1,8.0,0.1,1,1.761797155740862,-0.43172705726980104,1.3580549072897186,1.0
-1,8.0,0.1,2,1.6880208117761413,-0.35564833979152816,1.2933771659850806,1.0
-1,8.0,0.1,3,1.562382462647506,-0.6376253073457834,1.7036066725009993,1.0
-1,8.0,0.2,1,1.7152955722343932,-0.3619880764079126,1.1877859218180156,1.0
-1,8.0,0.2,2,1.5752446333588952,-0.26210154376888534,1.4489871317622425,1.0
-1,8.0,0.2,3,1.45123541907435,-0.3097555804986193,1.3764939345076428,1.0
