L,U,delta,nseed,son,son_err,sext,sext_err,d,d_err,dxy,dxy_err
8,0.0,0.1,6,3.592903752291931e-14,2.8223145741859218e-30,2.2947199695977363e-14,0.0,1.0548895090778387e-13,5.6446291483718436e-30,3.213429522475053e-14,2.8223145741859218e-30
8,0.0,0.2,6,-5.591083152012289e-15,3.5278932177324022e-31,-2.210231997423761e-14,1.4111572870929609e-30,-9.026557279412377e-14,0.0,9.986678151108209e-14,0.0
8,0.0,0.3,6,1.5620837956475954e-14,1.4111572870929609e-30,-3.524347480521328e-14,0.0,-6.911804462106375e-14,0.0,-9.443112958251735e-14,5.6446291483718436e-30
8,0.0,0.4,6,3.024247519078927e-14,2.8223145741859218e-30,-1.30515320773128e-13,0.0,1.0134115768778427e-14,0.0,-9.683365220780617e-14,0.0
8,0.0,0.5,6,2.1748158829382193e-14,0.0,-4.402034292638745e-16,2.2049332610827514e-32,2.3367974222310297e-14,0.0,5.656808355070098e-14,0.0
8,0.0,0.6,6,-3.2557290197132716e-14,0.0,2.7650104428289525e-15,0.0,6.02007332872745e-14,0.0,-3.1649127762989337e-14,0.0
8,0.0,0.7,6,1.1567413693569507e-14,0.0,-3.1357416663269083e-14,0.0,4.8849813083506894e-14,0.0,-7.918665723138932e-15,7.0557864354648044e-31
8,2.0,0.1,6,-3.4324594033709253,0.0009731326470135482,1.3816818637664914,0.0006776179010853414,0.6324392058743653,0.016717913206593504,0.1773623109755036,0.016267086263185133
8,2.0,0.2,6,-3.2153376182711644,0.0018012551161950075,1.2855814168158664,0.000688056226330103,0.3741018406518862,0.0069024520722024375,-1.0927279170363635,0.032854213703526716
8,2.0,0.3,6,-3.237782900644975,0.005957441222034037,1.19221981562797,0.0015057260506761438,0.44946633133904856,0.011387623522071611,-0.3445688565276463,0.02853742241143358
8,2.0,0.4,6,-2.9371543776712907,0.0012044447116934909,1.0801477128164196,0.0010408844945877925,0.20493841680723066,0.007175187153187942,1.405832469523628,0.00422928357856976
8,2.0,0.5,6,-2.7294268321885515,0.0028149752242991794,0.9806730694430604,0.0004723591393807488,0.17301028174255825,0.007872543641476657,1.078708842473817,0.001702069753400852
8,2.0,0.6,6,-2.553000346207098,0.003574475426502965,0.8984175763401282,0.0007862086559951681,0.1464283583926487,0.0034803458736482108,0.8432510171618742,0.0018480954778922313
8,2.0,0.7,6,-2.403124714100439,0.005792593212494142,0.8316424756524756,0.0006453775928924969,0.14839408065525528,0.008790646844067272,0.6683210416068519,0.0016413984714240609
8,3.0,0.1,6,-2.8052355145962653,0.0024896401742951903,1.9242146393486663,0.001719492310809775,1.0892185369015932,0.012115971980043385,0.1789763099130716,0.022225799484387018
8,3.0,0.2,6,-2.7722471580698627,0.0021607729344241696,1.783765049529337,0.002191963561928883,0.6776973808556944,0.022776844493367993,0.354704412361464,0.030047797446975708
8,3.0,0.3,6,-2.7068248078857327,0.001967784983237873,1.6553245914405592,0.00176518162313479,0.7515928272822096,0.02065138487332607,0.823184958571895,0.043751054331185105
