U,nk,dtot,dtot_err,dtot_N,dtot_N_err
2.0,144,0.10214525400000016,0.01146947933574759,0.0007093420416666678,7.964916205380272e-05
3.0,144,0.0846625599999998,0.019042554806346337,0.0005879344444444431,0.00013223996393296067
3.5,144,0.05999843500000045,0.016242446341789098,0.00041665579861111424,0.00011279476626242428
4.0,144,0.14621950600000022,0.018529364015455522,0.0010154132361111126,0.0001286761389962189
4.5,144,0.07279659699999985,0.013417219600159304,0.00050553192361111,9.317513611221739e-05
5.0,144,0.07462862500000068,0.01803323508359626,0.0005182543402777825,0.0001252307991916407
