L,n,U,delta,dtot_raw,net,nk,dtot_N,son,sext,d,dxy
10,1.0,4.0,0.5,1.2160741040000005,-7.399999961410497e-08,100,0.012160741040000004,-0.155296461,0.414703102,0.077715562,0.371258339
10,1.0,4.0,0.6,0.9645220360000003,-4.999999951571521e-08,100,0.009645220360000003,-0.151126521,0.384499566,0.070906453,0.36405956
10,1.0,4.0,0.7,0.8222835969999998,-3.700000046624741e-08,100,0.008222835969999998,-0.146784129,0.358662131,0.059948477,0.352946506
10,1.0,5.0,0.1,2.1042650509999996,-9.500000038020762e-08,100,0.021042650509999997,-0.062902914,0.494366269,0.252494326,-0.025298536
10,1.0,5.0,0.2,4.151240283000001,-2.6100000005691015e-07,100,0.04151240283000001,-0.065238892,0.493502029,0.240905331,-0.01463161
10,1.0,5.0,0.3,6.141941769,-3.950000000418896e-07,100,0.06141941769,-0.073533945,0.506640004,0.245386721,0.009707071
10,1.0,5.0,0.4,7.767952398000001,-5.319999992758895e-07,100,0.07767952398000001,-0.083723245,0.49836862,0.23470705,0.059510332
10,1.0,5.0,0.5,5.5357500360000005,-3.239999998294607e-07,100,0.055357500360000006,-0.125795719,0.493168536,0.210639308,0.307601462
10,1.0,5.0,0.6,4.663168583000001,-2.389999999574677e-07,100,0.04663168583000001,-0.128352166,0.461973392,0.201516491,0.333579849
10,1.0,5.0,0.7,1.4453304479999995,-8.59999998437111e-08,100,0.014453304479999995,-0.160093187,0.437384128,0.088139123,0.440932222
8,1.0,0.0,0.1,0.0,0.0,64,0.0,0.0,-0.0,-0.0,0.0
8,1.0,0.0,0.2,0.0,0.0,64,0.0,0.0,-0.0,-0.0,0.0
8,1.0,0.0,0.3,0.0,0.0,64,0.0,-0.0,0.0,-0.0,0.0
8,1.0,0.0,0.4,0.0,0.0,64,0.0,0.0,0.0,0.0,-0.0
8,1.0,0.0,0.5,0.0,0.0,64,0.0,-0.0,0.0,-0.0,0.0
8,1.0,0.0,0.6,0.0,0.0,64,0.0,-0.0,0.0,-0.0,-0.0
8,1.0,0.0,0.7,0.0,0.0,64,0.0,0.0,0.0,-0.0,-0.0
8,1.0,2.0,0.1,2.4328073620000006,-8.000000399112361e-09,64,0.03801261503125001,-0.080654428,0.274304372,0.076492916,0.007942749
8,1.0,2.0,0.2,2.0841308270000005,-8.500000062833246e-08,64,0.03256454417187501,-0.114663285,0.26361508,0.017127553,0.115029262
8,1.0,2.0,0.3,1.6662387800000005,-6.999999985907168e-08,64,0.026034980937500007,-0.109673104,0.247018267,0.015196902,0.155054308
8,1.0,2.0,0.4,0.2561257170000002,2.300000032443017e-08,64,0.004001964328125003,-0.104038396,0.229340142,0.037240809,0.181573572
8,1.0,2.0,0.5,0.25685438699999985,2.900000023453586e-08,64,0.004013349796874998,-0.099122359,0.213189646,0.038166895,0.177650304
8,1.0,2.0,0.6,0.29188864699999995,2.5000000118680088e-08,64,0.004560760109374999,-0.094548552,0.198604136,0.03633148,0.171692808
8,1.0,2.0,0.7,0.22944736700000004,3.100000010858306e-08,64,0.0035851151093750006,-0.090582914,0.186292782,0.062458291,0.164588193
8,1.0,3.5,0.1,1.195011879,8.100000013083752e-08,64,0.018672060609375,-0.071772676,0.424311083,0.192481598,-0.014048118
8,1.0,3.5,0.2,2.1907406729999996,7.300000020443731e-08,64,0.034230323015624994,-0.07596872,0.419580009,0.188886288,0.004064937
8,1.0,3.5,0.3,4.2068397079999995,9.99999998502199e-08,64,0.06573187043749999,-0.102082508,0.414249039,0.166831372,0.096440608
8,1.0,3.5,0.4,0.5728466490000003,-2.0999999999354868e-08,64,0.008950728890625004,-0.147819329,0.396752437,0.074981793,0.324589003
8,1.0,3.5,0.5,0.5305211530000004,4.099999993852077e-08,64,0.008289393015625006,-0.142461512,0.36770481,0.070443321,0.318542386
8,1.0,3.5,0.6,0.49120519100000004,2.5000000167252345e-08,64,0.007675081109375001,-0.137776611,0.344161071,0.064008439,0.308904192
8,1.0,3.5,0.7,0.421722444,2.600000010254122e-08,64,0.0065894131875,-0.133262438,0.32226854,0.06428082,0.297136909
8,1.0,3.0,0.1,1.1103054779999997,6.399999998366046e-08,64,0.017348523093749995,-0.073145056,0.382815803,0.17223834,-0.010341285
8,1.0,3.0,0.2,3.435168376999999,-1.699999995115331e-08,64,0.05367450589062499,-0.096460637,0.381399181,0.134508969,0.032465078
8,1.0,3.0,0.3,1.7185578289999999,-7.499999980266348e-08,64,0.026852466078124998,-0.141077809,0.367432981,0.042325281,0.234976427
8,1.0,3.0,0.4,0.4325847899999997,2.5999999713963162e-08,64,0.006759137343749996,-0.135949366,0.342085437,0.059605635,0.276654795
8,1.0,3.0,0.5,0.3752775380000003,2.1999999525249003e-08,64,0.005863711531250005,-0.130686971,0.318309193,0.057455295,0.27198033
8,1.0,3.0,0.6,0.4146806239999997,1.7999999657458687e-08,64,0.006479384749999996,-0.125648614,0.296573641,0.058969034,0.263439078
8,1.0,3.0,0.7,0.3306782930000003,2.2999999942791005e-08,64,0.0051668483281250045,-0.120980009,0.277896047,0.049344145,0.25252693
8,1.0,4.5,0.1,1.192897908,8.000000054075862e-08,64,0.0186390298125,-0.065191093,0.473679953,0.223487334,-0.021712558
8,1.0,4.5,0.2,2.288790087,4.1000000165769546e-08,64,0.035762345109375,-0.069552751,0.479146761,0.230710061,-0.010322359
8,1.0,4.5,0.3,3.2647978680000005,7.799999995894424e-08,64,0.05101246668750001,-0.074664995,0.474273056,0.226528599,0.015831865
8,1.0,4.5,0.4,3.0186492,6.400000031325792e-08,64,0.04716639375,-0.105097979,0.475359894,0.224690171,0.169997202
8,1.0,4.5,0.5,2.8946640190000004,1.0100000077256643e-07,64,0.045229125296875006,-0.109907508,0.451731717,0.239779307,0.206111445
8,1.0,4.5,0.6,0.7943038759999996,1.9999999462116946e-08,64,0.012410998062499994,-0.154966165,0.432228112,0.104789113,0.399761857
8,1.0,4.5,0.7,0.6822995520000004,1.9999999670283763e-08,64,0.010660930500000006,-0.150883554,0.405498811,0.094364333,0.383904307
8,1.0,4.0,0.1,1.217669987,6.700000044351784e-08,64,0.019026093546875,-0.068848181,0.453696263,0.214617644,-0.018886761
8,1.0,4.0,0.2,2.3219832400000007,8.000000051994194e-08,64,0.03628098812500001,-0.072708861,0.45306028,0.211064868,-0.004097599
8,1.0,4.0,0.3,3.092415263,9.299999989206831e-08,64,0.048318988484375,-0.079122547,0.44502657,0.204462764,0.026983776
8,1.0,4.0,0.4,2.841892187,6.500000051049004e-08,64,0.044404565421875,-0.105041315,0.435350791,0.225510647,0.163773017
8,1.0,4.0,0.5,0.7107568239999998,1.8000000320123055e-08,64,0.011105575374999998,-0.151711475,0.416670455,0.089493673,0.3635173
8,1.0,4.0,0.6,0.5984129199999999,3.200000013581228e-08,64,0.009350201874999998,-0.147423561,0.388933372,0.081212391,0.354247718
8,1.0,4.0,0.7,0.5330321549999997,2.0999999912618694e-08,64,0.008328627421874995,-0.143269815,0.36530345,0.081382186,0.340876836
8,1.0,5.0,0.1,1.1301790969999999,6.099999983605331e-08,64,0.017659048390624998,-0.062104365,0.492369631,0.247950895,-0.023456654
8,1.0,5.0,0.2,2.2366608809999997,7.100000021936781e-08,64,0.034947826265624996,-0.064772649,0.493559136,0.247155045,-0.017446149
8,1.0,5.0,0.3,3.1966763239999993,8.400000015007514e-08,64,0.04994806756249999,-0.071432636,0.500072736,0.25577692,0.003725415
8,1.0,5.0,0.4,3.9198112709999995,7.699999993865392e-08,64,0.06124705110937499,-0.081336092,0.49926753,0.245264616,0.048314761
8,1.0,5.0,0.5,3.4704913919999996,3.799999976489277e-08,64,0.05422642799999999,-0.108629523,0.487493543,0.247566372,0.209474112
8,1.0,5.0,0.6,2.9248306270000004,5.899999980241155e-08,64,0.045700478546875006,-0.112796387,0.457492316,0.273748083,0.248324978
8,1.0,5.0,0.7,0.918669075,2.6999999822724385e-08,64,0.014354204296875,-0.156010741,0.441364103,0.104272573,0.426896655
12,1.0,0.0,0.1,0.0,0.0,144,0.0,0.0,-0.0,-0.0,-0.0
12,1.0,0.0,0.2,0.0,0.0,144,0.0,0.0,0.0,-0.0,-0.0
12,1.0,0.0,0.3,0.0,0.0,144,0.0,-0.0,-0.0,-0.0,-0.0
12,1.0,0.0,0.4,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.5,0.0,0.0,144,0.0,0.0,-0.0,-0.0,0.0
12,1.0,0.0,0.6,0.0,0.0,144,0.0,-0.0,0.0,0.0,-0.0
12,1.0,0.0,0.7,0.0,0.0,144,0.0,0.0,0.0,0.0,0.0
12,1.0,2.0,0.1,8.680385982,1.5820000004995727e-06,144,0.06028045820833334,-0.10622456,0.284346386,0.046870414,0.017359874
12,1.0,2.0,0.2,11.582022061,1.4990000005710158e-06,144,0.08043070875694444,-0.101387757,0.269836989,0.038903561,0.073015779
12,1.0,2.0,0.3,2.057176642000001,1.299999999732071e-07,144,0.014285948902777783,-0.115899432,0.249585004,0.020589607,0.165072104
12,1.0,2.0,0.4,0.44240599200000064,-1.1999999289385999e-08,144,0.0030722638333333377,-0.110011924,0.229221828,0.022896459,0.182875144
12,1.0,2.0,0.5,0.3773264330000001,7.000000262595563e-09,144,0.00262032245138889,-0.104689685,0.211165838,0.019515466,0.182798458
12,1.0,2.0,0.6,0.4164787949999998,-6.999999718759753e-09,144,0.002892213854166665,-0.100011094,0.195483959,0.020053445,0.179415847
12,1.0,2.0,0.7,0.3033521410000004,9.999998329401905e-10,144,0.002106612090277781,-0.095582769,0.181542202,0.021002399,0.173618306
12,1.0,3.5,0.1,4.102447206999999,9.100000017761567e-08,144,0.028489216715277772,-0.076884577,0.433107655,0.18535332,-0.012611635
