n,delta,sext,sext_e,d,d_e,dxy,dxy_e
0.5,0.0,-0.3414793920941032,0.0047852206268564,-0.005836934444904596,0.05896503881098316,0.023081068237516125,0.027991371336830054
0.5,0.1,-0.3331553143585947,0.009500333920864832,0.058101194243878954,0.03945915567525657,-0.007472015966675784,0.022530719483627122
0.5,0.2,-0.30472944522888973,0.006071758890668712,0.1358574438990051,0.052205101335605665,-0.11990246895165145,0.019481034677550156
0.5,0.3,-0.275690497322793,0.0075636810350673414,0.0022728159233563797,0.02818858539288646,-0.3775229443745016,0.023631661169356822
0.5,0.4,-0.2657578271136836,0.010876222487265675,0.09882872051603997,0.05101180880078078,-0.7558559587149118,0.03578195868060789
0.5,0.5,-0.45853814666102505,0.02033572051932577,0.06969087814301211,0.04842023235896637,-0.3815135050197307,0.04537482634810066
0.5,0.6,-0.7852012029685327,0.024844344006492113,-0.03428189464181088,0.06404463760907884,-1.1755427104490577,0.05298437692446085
0.5,0.7,-1.3980730313539653,0.01800347565671679,0.019354177231038862,0.028958304214034652,-0.9252826129215111,0.05450426298936246
0.5555555555555556,0.0,-0.15428592795578275,0.0034081239787707393,0.09867168479923501,0.0342543239714858,0.13104705755484192,0.018693144471889304
0.5555555555555556,0.1,-0.15192266691396442,0.005150470622875629,0.11280124332887909,0.025828917370986366,0.0876585964062338,0.015214269717786291
0.5555555555555556,0.2,-0.14053219282680302,0.007286693381033705,0.031693718564592965,0.04216758696026598,-0.13153949786872995,0.015478152151091103
0.5555555555555556,0.3,-0.13891420081809353,0.0071889699565184755,0.09563914193998808,0.03576832593814045,-0.26431037113654915,0.033028511579426684
0.5555555555555556,0.4,-0.13370787103289752,0.010126293655471056,0.06535582995596104,0.05138218821682778,-0.36057119077426364,0.038018688252937825
0.5555555555555556,0.5,-0.30185832453089995,0.00627589081686318,0.06915147217864731,0.04114788452871953,-0.3004586443067358,0.06381372224874567
0.5555555555555556,0.6,-0.4996728963663496,0.018345214073492187,0.010684915278300134,0.07498173310479857,-0.7743262839723197,0.06191103116862189
0.5555555555555556,0.7,-0.7615192481192978,0.01221920830043187,-0.0446109756441813,0.05435936121160811,-0.8062136691533375,0.04694643820624216
0.6666666666666666,0.0,-0.07836273481850839,0.0023177081091678904,0.002783934633522933,0.022524040452101747,0.0540148849573418,0.020239418855237667
0.6666666666666666,0.1,-0.07466502974259988,0.0020195101891091727,-0.008646200950589038,0.012107472257530704,0.06051468204073277,0.022553312248311926
0.6666666666666666,0.2,-0.0572755950630356,0.0031732742592631064,0.04881388948284922,0.014369689191428597,-0.03488508022483941,0.018760900495679265
0.6666666666666666,0.3,-0.0333558474423884,0.004125909138618979,0.11205877359058126,0.05361773943328094,-0.08674590893440125,0.018906695936863997
0.6666666666666666,0.4,-0.04058522035942067,0.002692135035612517,0.04034602810221771,0.030591328171374752,-0.19650047700164916,0.03099350250499028
0.6666666666666666,0.5,-0.07951547213815252,0.016383261833475764,0.08461989154783156,0.028763297974079113,-0.3139524793611395,0.03896155722226465
0.6666666666666666,0.6,-0.26097747385730224,0.0060550267353579774,0.0533041337266985,0.026358367362902188,-0.26753423641930707,0.01466945892713891
0.6666666666666666,0.7,-0.27101696145827675,0.010502770515169997,0.028357866422939106,0.02040037214422084,-0.35312355588887934,0.015282196026493527
0.7777777777777778,0.0,-0.026398321249586045,0.0019545132404170454,0.1204326521352576,0.02555521177228954,0.025379957684394435,0.011234456785575135
0.7777777777777778,0.1,-0.030699959571250636,0.0020998295850070403,0.055757554543829635,0.033960396677996454,0.012161935373974307,0.01236462221184555
0.7777777777777778,0.2,-0.016780494763032512,0.0024532725723743734,0.09579198869071401,0.024700803724779057,-0.038750577761073456,0.016672980126638173
0.7777777777777778,0.3,0.011704582790626123,0.001834779187899824,0.0322544356283661,0.018191789092163076,-0.08691110066914165,0.01387741780863185
0.7777777777777778,0.4,-0.0058428233080197655,0.005033370823994965,0.02591780689930516,0.01973175952171459,-0.13759954443068773,0.00917327443261448
0.7777777777777778,0.5,-0.05284941545280337,0.0010501030965814773,0.04137133955277015,0.011616211795816235,-0.07163530830321056,0.011648070738039038
0.7777777777777778,0.6,-0.057798857013100106,0.0026295062838910467,0.04269179445575951,0.011054572849666607,-0.04309478525747442,0.004012376510976934
0.7777777777777778,0.7,-0.05623357150773021,0.0023340609820684294,0.06381804447837151,0.011242848063850437,-0.07403842531925163,0.0027084688457398283
0.8888888888888888,0.0,0.023187603218022757,0.0012330402501214016,0.14356045993020802,0.021918217889191363,-0.00809044822519578,0.008118768448882367
0.8888888888888888,0.1,0.020492619708716343,0.0010768994237525318,0.10940891335786951,0.00877930386444432,-0.017391242195601755,0.005366575339286132
0.8888888888888888,0.2,0.017277770506087,0.0010166672984979284,0.1243456562402856,0.019042748463636943,-0.08055959450806453,0.012209740626542905
0.8888888888888888,0.3,0.01635303276818719,0.0006804654601082543,0.029585598116182485,0.010385493450406298,-0.11526896242473797,0.008359286637863433
0.8888888888888888,0.4,0.0023209988405342927,0.0007284841302003503,0.043208168764028616,0.01522648857482432,0.016101895934921184,0.0015069995972620393
0.8888888888888888,0.5,-0.00025396992765450355,0.0005843117159696123,0.03246079518443875,0.011320586832348673,0.009175978603531813,0.0013843743565164525
0.8888888888888888,0.6,0.0015862407033439812,0.0007337365100233677,0.029964978201825122,0.00908781567525007,0.006959920162830535,0.0013424093091056045
0.8888888888888888,0.7,-0.02144517535486085,0.00035358843810411213,0.004664973454242893,0.007000471974472611,0.018975421740398964,0.0005603050110575688
1.0,0.0,0.020598211724958643,0.00040301382080170983,0.09794438409130969,0.00864648136349994,-0.014827062546559428,0.00783988887021123
1.0,0.1,0.01973215176389578,0.0004246956393302749,0.10707907626175582,0.010485243049300007,-0.02889551823367644,0.006658379070937876
1.0,0.2,0.014968212530250392,0.00039953280593467384,0.0269579971322207,0.005369941078580251,0.058330654590174405,0.006003454316452974
1.0,0.3,0.011246638872319968,0.00045297662526522264,0.0276007678903553,0.006362679445293616,0.08089797078754198,0.0014088553563763042
1.0,0.4,0.00723255395849964,0.00036548199382055517,0.01720812791270967,0.004884919456363797,0.07509880597960557,0.0007227350379773173
1.0,0.5,0.006236478347566308,0.00019966980611407534,0.013078307732591339,0.00242739168079845,0.05516849878375665,0.00024887536973498294
1.0,0.6,0.005509250543821811,0.0002460414192242434,0.01138828889524859,0.0012867093335587531,0.04081755811735927,0.0002123862360890046
