L,nup,delta,U,seed,apx,apy,chi_son_full,chi_son_vertex,chi_sext_full,chi_sext_vertex,chi_d_full,chi_d_vertex,chi_dxy_full,chi_dxy_vertex,n
12,72,0.2,4.0,1,-1,-1,4.024922128581067,-4.610431249622846,29.36802312745366,3.967077458786125,31.726110060599957,2.670664996268665,31.30945067167223,-0.6864207066978,1.0
12,72,0.2,4.0,2,-1,-1,4.0478957971379845,-4.711633602598683,29.216885539075346,3.897274085487189,31.774425278256405,2.772248102978367,32.02236576794384,-0.4379915777748107,1.0
12,72,0.2,4.0,3,-1,-1,4.020742940490519,-4.6142555799487806,29.245286894590908,3.8717003164647985,31.05951123697012,2.21982195819089,31.54848282383208,-0.3547536101771651,1.0
12,72,0.2,4.0,4,-1,-1,4.021688965239723,-4.644333213783567,29.30508531376923,3.930535231088669,31.277443731361235,2.4889624797078325,31.20955272434036,-0.8032085744112182,1.0
12,72,0.2,4.0,5,-1,-1,4.0211580257493535,-4.634028099039643,29.179660809679064,3.8849286381899666,30.906195443710953,2.1542309732860185,31.837430048893943,-0.3381030232749796,1.0
12,72,0.2,4.0,6,-1,-1,4.006049143741795,-4.555801017212167,29.150429969583495,3.854301199240043,31.28604079285359,2.5965251358169796,31.84163992892767,-0.1616861397303206,1.0
12,72,0.5,4.0,1,-1,-1,4.460971341579651,-4.693503063695612,26.593170290553473,2.6552813634850985,26.37829461540112,1.1665273757434536,28.788897025049422,3.239612872613854,1.0
12,72,0.5,4.0,2,-1,-1,4.459628095621307,-4.691570389650789,26.596198483954417,2.6750639826079854,26.22831762295839,0.9749234453413052,28.717566276413756,3.223481788214491,1.0
12,72,0.5,4.0,3,-1,-1,4.455462159728962,-4.682471405185319,26.554917227194245,2.6657847656530107,26.40531713061308,1.0048370155938529,28.697110023544667,3.1908878928847235,1.0
12,72,0.5,4.0,4,-1,-1,4.4526307041395805,-4.683306911262429,26.580017315551608,2.6591387363591212,26.278258945841017,1.019759976382944,28.68137401339767,3.237398386922564,1.0
12,72,0.5,4.0,5,-1,-1,4.462661220587511,-4.693176073084661,26.61214709697007,2.675996864129773,25.957550829139137,0.8092670029500448,28.62956194791069,3.1336424797915745,1.0
12,72,0.5,4.0,6,-1,-1,4.469041016333952,-4.707027957736164,26.57874679534129,2.6089556243473107,26.354547584893112,1.0361844341509736,28.741411307492807,3.2418152428965543,1.0
12,72,0.4,4.0,1,-1,-1,4.333464072462597,-4.727080482677935,27.396483578107095,2.9639158027864982,28.21421048330673,1.229839008696742,29.64076272458163,3.45455772970774,1.0
12,72,0.4,4.0,2,-1,-1,4.319723399484025,-4.638241493410598,27.48503937738493,2.9595308939995606,28.02184794796415,1.1855224631207288,29.626962890573942,3.4643914003346596,1.0
12,72,0.4,4.0,3,-1,-1,4.317929949782718,-4.737460645506123,27.482078438687417,3.059776037518646,28.21835582870403,1.4330494960602258,29.520758038759368,3.327207555529405,1.0
12,72,0.4,4.0,4,-1,-1,4.327438473975915,-4.748074053085077,27.49960894997987,3.0499672180659827,28.504459149451613,1.5445762528595934,29.600391919441893,3.492667346691758,1.0
12,72,0.4,4.0,5,-1,-1,4.322941640217744,-4.732264393815676,27.44962069640569,3.018313907431441,28.31463513415316,1.485681004954494,29.65847141246627,3.4990169373625912,1.0
12,72,0.4,4.0,6,-1,-1,4.339752444104873,-4.732727176328554,27.51903579880659,3.0359660959425563,28.076044741412215,1.0908708739852429,29.577373118155236,3.448770320803603,1.0
12,72,0.3,4.0,1,-1,-1,4.161388558088538,-4.711029361163048,28.313064543996983,3.3905184502986003,30.284669270110204,2.01364837405035,30.496993166352592,3.6713904411445704,1.0
12,72,0.3,4.0,2,-1,-1,4.162587062360634,-4.632047402751445,28.224770423476116,3.2986781795651168,30.276130950046024,1.820037225938178,30.28423807762876,3.4746169171562498,1.0
12,72,0.3,4.0,3,-1,-1,4.157045147202635,-4.662331881024221,28.342073727033306,3.4246454170684815,30.300736073757015,1.9095679218736912,30.247850354432,3.6129481976526376,1.0
12,72,0.3,4.0,4,-1,-1,4.152507403044124,-4.693444106431896,28.293593239864673,3.4208527984544146,30.00644287417266,1.765092874256593,30.523053669078266,3.7987777937227234,1.0
12,72,0.3,4.0,5,-1,-1,4.151501072667232,-4.664605028480229,28.3082121502375,3.474220152260595,30.19837286834146,1.949663566139457,30.332387719998053,3.6932223892695673,1.0
12,72,0.3,4.0,6,-1,-1,4.154702833655719,-4.671925655731864,28.380741209914436,3.428364790538982,29.861508857473662,1.6654512009930973,30.209832337848525,3.5822464081108736,1.0
12,72,0.6,4.0,1,-1,-1,4.556104835245804,-4.592145871327626,25.71134580850594,2.351828181524727,24.378194757064165,0.8060729291007416,27.687072968690508,2.8831589156912507,1.0
12,72,0.6,4.0,2,-1,-1,4.560306577963815,-4.597824731945029,25.64289092811477,2.297026024833135,24.26060266236287,0.6999744666209574,27.690724144977565,2.912233510994272,1.0
12,72,0.6,4.0,3,-1,-1,4.556922024987193,-4.596819902746448,25.68582314998709,2.3525307808653286,24.46063562816283,0.9332138248549476,27.642653750816315,2.8898600783927804,1.0
12,72,0.6,4.0,4,-1,-1,4.559477353451875,-4.58879258067382,25.68050958310804,2.346582772160391,24.31400712076291,0.7803147140366061,27.676948713709272,2.9395016180344653,1.0
12,72,0.6,4.0,5,-1,-1,4.55186657274921,-4.572881022790986,25.686367907579523,2.341271221670554,24.29093997039167,0.7337796761404485,27.60551626935228,2.85740642538552,1.0
12,72,0.6,4.0,6,-1,-1,4.547062606869811,-4.59487977652068,25.71604859232351,2.3439957290628133,24.324369609413672,0.748615076099535,27.640437897441352,2.8861143370383955,1.0
12,72,0.7,4.0,1,-1,-1,4.619985324309591,-4.4357737515208395,24.830302556925023,2.094897930345724,22.431905622615155,0.5919049910167498,26.563868915100137,2.568931596486495,1.0
12,72,0.7,4.0,2,-1,-1,4.635745435766324,-4.464976001056958,24.81620505966017,2.0582850143768625,22.489198148045848,0.5691606608063082,26.59232474173093,2.5505272323610164,1.0
12,72,0.7,4.0,3,-1,-1,4.627213811119119,-4.452512027271404,24.827376171980575,2.08814038373471,22.3345636696393,0.56393085699945,26.579819521420188,2.5409880463923677,1.0
12,72,0.7,4.0,4,-1,-1,4.6208688060874765,-4.437398550599964,24.766004105220684,2.05118548588083,22.572141938255513,0.6541272971839424,26.58007061076501,2.602359297896965,1.0
12,72,0.7,4.0,5,-1,-1,4.631848846836845,-4.458193122768634,24.815012594974217,2.0662905362843285,22.56653291657142,0.6441470973330748,26.590568219533544,2.575156601489416,1.0
12,72,0.7,4.0,6,-1,-1,4.61909864750608,-4.452735100376789,24.823319106680643,2.0945949201578555,22.481714530827173,0.6177435796712654,26.61030018449872,2.6090053789836434,1.0
12,72,0.0,4.0,1,-1,-1,3.80821207557496,-4.298935957091999,30.12724040597733,4.1958490839473015,34.25347730468302,3.993195933153568,29.86913798123136,-1.3115368361749729,1.0
12,72,0.0,4.0,2,-1,-1,3.825982752797077,-4.485099461927796,30.079195410363365,4.344172191773993,32.972310489996076,2.960516838170423,29.92357861692468,-1.4300780520146177,1.0
12,72,0.0,4.0,3,-1,-1,3.803616137555133,-4.437979213394511,30.27848258024567,4.435901456700227,35.48868426601082,4.8308916113671385,29.721695473327536,-1.4597595141901665,1.0
12,72,0.0,4.0,4,-1,-1,3.8070572185505425,-4.320709993189871,30.41401552513664,4.465774385537488,34.45372196047493,4.019894878435399,29.841830417904884,-1.4102526036500198,1.0
12,72,0.0,4.0,5,-1,-1,3.8390248952326673,-4.475857127949522,30.30312719671442,4.466224067685031,34.555566340194716,4.169195618774914,30.06001476028848,-1.246488254189909,1.0
12,72,0.0,4.0,6,-1,-1,3.8189104913980545,-4.393014831090491,30.112336155887512,4.310329534292643,33.873898617201895,3.57669622046339,30.104440589901746,-1.295889449072345,1.0
