U,nup,delta,m,m0,dm,mAM,n
0.0,36,0.0,0.0294627825494394,0.0294627825494394,0.0,0.0,0.5
0.0,36,0.1,0.029386935469142495,0.029386935469142495,0.0,0.0,0.5
0.0,36,0.2,0.0291349980717828,0.0291349980717828,0.0,0.0,0.5
0.0,36,0.3,0.0287761939629325,0.0287761939629325,0.0,0.0,0.5
0.0,36,0.4,0.0283303679781198,0.0283303679781198,0.0,0.0,0.5
0.0,40,0.0,0.031056499687497,0.031056499687497,0.0,0.0,0.5555555555555556
0.0,40,0.1,0.0309676136091056,0.0309676136091056,0.0,0.0,0.5555555555555556
0.0,40,0.2,0.030714859295012203,0.030714859295012203,0.0,0.0,0.5555555555555556
0.0,40,0.3,0.0303338711713847,0.0303338711713847,0.0,0.0,0.5555555555555556
0.0,40,0.4,0.0295312657142231,0.0295312657142231,0.0,0.0,0.5555555555555556
0.0,48,0.0,0.0340206908719885,0.0340206908719885,0.0,0.0,0.6666666666666666
0.0,48,0.1,0.0339154269959452,0.0339154269959452,0.0,0.0,0.6666666666666666
0.0,48,0.2,0.0333133456474967,0.0333133456474967,0.0,0.0,0.6666666666666666
0.0,48,0.3,0.0321157904505505,0.0321157904505505,0.0,0.0,0.6666666666666666
0.0,48,0.4,0.0307744154819389,0.0307744154819389,0.0,0.0,0.6666666666666666
0.0,56,0.0,0.0360843918243516,0.0360843918243516,0.0,0.0,0.7777777777777778
0.0,56,0.1,0.0358651129078462,0.0358651129078462,0.0,0.0,0.7777777777777778
0.0,56,0.2,0.0358614000822791,0.0358614000822791,0.0,0.0,0.7777777777777778
0.0,56,0.3,0.0339169757981854,0.0339169757981854,0.0,0.0,0.7777777777777778
0.0,56,0.4,0.0325837812268567,0.0325837812268567,0.0,0.0,0.7777777777777778
0.0,64,0.0,0.0385246883486812,0.0385246883486812,0.0,0.0,0.8888888888888888
0.0,64,0.1,0.038153117216331,0.038153117216331,0.0,0.0,0.8888888888888888
0.0,64,0.2,0.0369562316081898,0.0369562316081898,0.0,0.0,0.8888888888888888
0.0,64,0.3,0.0362770355696942,0.0362770355696942,0.0,0.0,0.8888888888888888
0.0,64,0.4,0.0332893207711791,0.0332893207711791,0.0,0.0,0.8888888888888888
0.0,72,0.0,0.0380362887156365,0.0380362887156365,0.0,0.0,1.0
0.0,72,0.1,0.037554652263564,0.037554652263564,0.0,0.0,1.0
0.0,72,0.2,0.0367683761087647,0.0367683761087647,0.0,0.0,1.0
0.0,72,0.3,0.0356748742287585,0.0356748742287585,0.0,0.0,1.0
0.0,72,0.4,0.034358650153483,0.034358650153483,0.0,0.0,1.0
2.0,36,0.0,0.030328525904658784,0.0294627825494394,0.0008657433552193838,0.0,0.5
2.0,36,0.1,0.03020421007084807,0.029386935469142495,0.000817274601705574,8.17274601705574e-05,0.5
2.0,36,0.2,0.02995905111366898,0.0291349980717828,0.0008240530418861802,0.00016481060837723606,0.5
2.0,36,0.3,0.029514729281885282,0.0287761939629325,0.0007385353189527828,0.00022156059568583485,0.5
2.0,36,0.4,0.0290422542367237,0.0283303679781198,0.0007118862586039006,0.0002847545034415602,0.5
2.0,40,0.0,0.03223955523918375,0.031056499687497,0.0011830555516867507,0.0,0.5555555555555556
2.0,40,0.1,0.0321549305432216,0.0309676136091056,0.0011873169341159971,0.00011873169341159972,0.5555555555555556
2.0,40,0.2,0.031837106810713646,0.030714859295012203,0.0011222475157014432,0.00022444950314028865,0.5555555555555556
2.0,40,0.3,0.03136607592541195,0.0303338711713847,0.0010322047540272487,0.00030966142620817463,0.5555555555555556
2.0,40,0.4,0.030354738609755152,0.0295312657142231,0.0008234728955320535,0.0003293891582128214,0.5555555555555556
2.0,48,0.0,0.036582194490135764,0.0340206908719885,0.0025615036181472622,0.0,0.6666666666666666
2.0,48,0.1,0.03639311665326172,0.0339154269959452,0.002477689657316519,0.0002477689657316519,0.6666666666666666
2.0,48,0.2,0.0353880824743382,0.0333133456474967,0.0020747368268414987,0.0004149473653682998,0.6666666666666666
2.0,48,0.3,0.03373095746366698,0.0321157904505505,0.0016151670131164808,0.00048455010393494424,0.6666666666666666
2.0,48,0.4,0.03205438395397377,0.0307744154819389,0.0012799684720348654,0.0005119873888139462,0.6666666666666666
2.0,56,0.0,0.04003565480448498,0.0360843918243516,0.003951262980133381,0.0,0.7777777777777778
2.0,56,0.1,0.039661754956455735,0.0358651129078462,0.003796642048609536,0.0003796642048609536,0.7777777777777778
2.0,56,0.2,0.03956686170821095,0.0358614000822791,0.003705461625931848,0.0007410923251863696,0.7777777777777778
2.0,56,0.3,0.03640993004481697,0.0339169757981854,0.002492954246631568,0.0007478862739894703,0.7777777777777778
2.0,56,0.4,0.03476806991349897,0.0325837812268567,0.0021842886866422703,0.0008737154746569081,0.7777777777777778
2.0,64,0.0,0.045067448472364526,0.0385246883486812,0.006542760123683322,0.0,0.8888888888888888
2.0,64,0.1,0.04328732951553793,0.038153117216331,0.005134212299206929,0.000513421229920693,0.8888888888888888
2.0,64,0.2,0.041490109122177814,0.0369562316081898,0.0045338775139880105,0.0009067755027976021,0.8888888888888888
2.0,64,0.3,0.041624939258572816,0.0362770355696942,0.005347903688878615,0.0016043711066635845,0.8888888888888888
2.0,64,0.4,0.03572713405195025,0.0332893207711791,0.0024378132807711533,0.0009751253123084614,0.8888888888888888
2.0,72,0.0,0.04353822801714041,0.0380362887156365,0.0055019393015039095,0.0,1.0
2.0,72,0.1,0.04266838132179008,0.037554652263564,0.005113729058226081,0.0005113729058226082,1.0
2.0,72,0.2,0.041460473569217365,0.0367683761087647,0.004692097460452668,0.0009384194920905337,1.0
2.0,72,0.3,0.040153481564410655,0.0356748742287585,0.004478607335652154,0.0013435822006956464,1.0
2.0,72,0.4,0.03767331044815198,0.034358650153483,0.0033146602946689807,0.0013258641178675924,1.0
4.0,36,0.0,0.03039082639269883,0.0294627825494394,0.000928043843259431,0.0,0.5
4.0,36,0.1,0.030197604628088386,0.029386935469142495,0.0008106691589458911,8.106691589458912e-05,0.5
4.0,36,0.2,0.030070996127152583,0.0291349980717828,0.0009359980553697821,0.00018719961107395642,0.5
4.0,36,0.3,0.029725476189829802,0.0287761939629325,0.0009492822268973022,0.0002847846680691907,0.5
4.0,36,0.4,0.029292521046061767,0.0283303679781198,0.0009621530679419683,0.0003848612271767874,0.5
4.0,40,0.0,0.032520769183061,0.031056499687497,0.0014642694955640002,0.0,0.5555555555555556
4.0,40,0.1,0.032377016022180266,0.0309676136091056,0.0014094024130746653,0.00014094024130746654,0.5555555555555556
4.0,40,0.2,0.03213888920446804,0.030714859295012203,0.0014240299094558338,0.0002848059818911668,0.5555555555555556
4.0,40,0.3,0.03162382308781857,0.0303338711713847,0.0012899519164338673,0.0003869855749301602,0.5555555555555556
4.0,40,0.4,0.030544176482135633,0.0295312657142231,0.0010129107679125345,0.0004051643071650138,0.5555555555555556
4.0,48,0.0,0.0376428211502779,0.0340206908719885,0.0036221302782893997,0.0,0.6666666666666666
4.0,48,0.1,0.03775570403063428,0.0339154269959452,0.003840277034689081,0.0003840277034689081,0.6666666666666666
4.0,48,0.2,0.036492185057586564,0.0333133456474967,0.0031788394100898607,0.0006357678820179722,0.6666666666666666
4.0,48,0.3,0.03439920953526117,0.0321157904505505,0.002283419084710671,0.0006850257254132012,0.6666666666666666
4.0,48,0.4,0.03286545263515415,0.0307744154819389,0.0020910371532152465,0.0008364148612860986,0.6666666666666666
4.0,56,0.0,0.04334439611557354,0.0360843918243516,0.007260004291221936,0.0,0.7777777777777778
4.0,56,0.1,0.04273712333457285,0.0358651129078462,0.006872010426726652,0.0006872010426726652,0.7777777777777778
4.0,56,0.2,0.042448070721222114,0.0358614000822791,0.006586670638943012,0.0013173341277886025,0.7777777777777778
4.0,56,0.3,0.038540347642777605,0.0339169757981854,0.004623371844592203,0.0013870115533776608,0.7777777777777778
4.0,56,0.4,0.03629289104815995,0.0325837812268567,0.0037091098213032497,0.0014836439285213,0.7777777777777778
4.0,64,0.0,0.05189072346981225,0.0385246883486812,0.013366035121131048,0.0,0.8888888888888888
4.0,64,0.1,0.04904091486086767,0.038153117216331,0.010887797644536665,0.0010887797644536666,0.8888888888888888
4.0,64,0.2,0.04748120685895207,0.0369562316081898,0.010524975250762264,0.002104995050152453,0.8888888888888888
4.0,64,0.3,0.04700834133643633,0.0362770355696942,0.010731305766742132,0.0032193917300226394,0.8888888888888888
4.0,64,0.4,0.038511309454985244,0.0332893207711791,0.0052219886838061474,0.002088795473522459,0.8888888888888888
4.0,72,0.0,0.0499348182519422,0.0380362887156365,0.0118985295363057,0.0,1.0
4.0,72,0.1,0.04939821318863249,0.037554652263564,0.01184356092506849,0.001184356092506849,1.0
4.0,72,0.2,0.04734616102841011,0.0367683761087647,0.010577784919645415,0.002115556983929083,1.0
4.0,72,0.3,0.04560665930365284,0.0356748742287585,0.00993178507489434,0.002979535522468302,1.0
4.0,72,0.4,0.041042825145725555,0.034358650153483,0.006684174992242553,0.0026736699968970216,1.0
6.0,36,0.0,0.030245291131040648,0.0294627825494394,0.0007825085816012475,0.0,0.5
6.0,36,0.1,0.03016188868983215,0.029386935469142495,0.0007749532206896559,7.749532206896559e-05,0.5
6.0,36,0.2,0.029869531588583968,0.0291349980717828,0.0007345335168011669,0.00014690670336023337,0.5
6.0,36,0.3,0.02979129965686847,0.0287761939629325,0.00101510569393597,0.000304531708180791,0.5
6.0,36,0.4,0.0291624527698361,0.0283303679781198,0.0008320847917163005,0.0003328339166865202,0.5
6.0,40,0.0,0.0327676002185854,0.031056499687497,0.001711100531088399,0.0,0.5555555555555556
6.0,40,0.1,0.03235668353629337,0.0309676136091056,0.0013890699271877673,0.00013890699271877673,0.5555555555555556
6.0,40,0.2,0.03197010371302715,0.030714859295012203,0.0012552444180149482,0.00025104888360298963,0.5555555555555556
6.0,40,0.3,0.031466663658044215,0.0303338711713847,0.0011327924866595153,0.0003398377459978546,0.5555555555555556
6.0,40,0.4,0.030949377269200846,0.0295312657142231,0.0014181115549777475,0.000567244621991099,0.5555555555555556
6.0,48,0.0,0.037509845314095985,0.0340206908719885,0.003489154442107484,0.0,0.6666666666666666
6.0,48,0.1,0.037646255086953136,0.0339154269959452,0.003730828091007936,0.0003730828091007936,0.6666666666666666
6.0,48,0.2,0.03635819575284475,0.0333133456474967,0.0030448501053480445,0.000608970021069609,0.6666666666666666
6.0,48,0.3,0.03451740902132975,0.0321157904505505,0.0024016185707792514,0.0007204855712337754,0.6666666666666666
6.0,48,0.4,0.03302933890238211,0.0307744154819389,0.0022549234204432105,0.0009019693681772842,0.6666666666666666
6.0,56,0.0,0.043938936151106556,0.0360843918243516,0.007854544326754954,0.0,0.7777777777777778
6.0,56,0.1,0.04467279570354163,0.0358651129078462,0.00880768279569543,0.0008807682795695431,0.7777777777777778
6.0,56,0.2,0.04301636582812863,0.0358614000822791,0.007154965745849527,0.0014309931491699056,0.7777777777777778
6.0,56,0.3,0.03964832312483283,0.0339169757981854,0.005731347326647429,0.0017194041979942288,0.7777777777777778
6.0,56,0.4,0.03709166736117643,0.0325837812268567,0.0045078861343197316,0.0018031544537278927,0.7777777777777778
6.0,64,0.0,0.05459414560751325,0.0385246883486812,0.01606945725883205,0.0,0.8888888888888888
6.0,64,0.1,0.05413737775335376,0.038153117216331,0.01598426053702276,0.0015984260537022761,0.8888888888888888
