L,n,U,delta,delta_tot,delta_tot_err,net,snr,corr_dxy,dtot_N
4,0.5,4.0,0.2,0.0173937379999998,0.0138697970879452,-0.0009925019999999,0.5545360608422291,-0.181366397134969,0.0010871086249999876
4,0.75,4.0,0.2,0.393404506,0.0171161898486814,0.000198076,6.101464578869435,0.995955322688073,0.024587781625
4,0.875,4.0,0.2,1.782447397,0.0077761728361551,0.001611191,101.15959408882314,-0.9999295637057124,0.1114029623125
4,1.0,4.0,0.2,0.034853406,0.0112759824083424,0.0042756899999997,1.202259906076719,-0.7536323116446269,0.002178337875
10,0.5,4.0,0.0,0.1112240779999998,0.0209685775317458,-0.0007282140000002,0.8268615765493109,0.1986464851159695,0.001112240779999998
10,0.58,4.0,0.0,1.1411551460000002,0.0377961498984856,-0.1068251539999997,2.1804725841000763,-0.1722163093358462,0.011411551460000002
10,0.74,4.0,0.0,1.303534957,0.0493210520813367,0.048577008999999,2.351576647241325,-0.2855765558101774,0.01303534957
10,0.78,4.0,0.0,1.5399513220000005,0.0570617798033283,0.0644466620000001,2.1323557094257475,0.2921727796103305,0.015399513220000004
10,0.86,4.0,0.0,0.8909436930000001,0.0595780955970625,0.0387099510000002,1.309644867044277,-0.2220683343210321,0.00890943693
10,0.5,4.0,0.1,0.258956818,0.0194842551142618,0.0041860239999998,1.3258026309685953,0.0410778036923752,0.0025895681799999997
10,0.58,4.0,0.1,0.8476827450000002,0.0395713172508661,-0.1162203269999997,1.7833035758664395,-0.0400570447257941,0.008476827450000002
10,0.74,4.0,0.1,2.1303655219999995,0.0429656028059106,-0.0296346140000001,4.815696588559878,-0.6158714865215779,0.021303655219999995
10,0.78,4.0,0.1,1.3023867599999996,0.0585921732504292,0.0195181600000002,2.2369833589764188,-0.4454883761497005,0.013023867599999996
10,0.86,4.0,0.1,0.9531090190000008,0.0494177387058778,-0.0552834170000007,2.0372260042318593,-0.4558236193248014,0.009531090190000008
10,0.94,4.0,0.1,3.06877727,0.0524854038996398,-0.0202740540000003,8.340556736576993,0.3589679433512379,0.0306877727
10,0.5,4.0,0.2,0.8044323860000001,0.0350359515076918,0.0043102940000001,2.009722410006368,-0.1591679443141378,0.00804432386
10,0.66,4.0,0.2,1.460908018,0.0361205010480141,0.1107703099999994,3.570709462759084,0.4312358359630038,0.014609080180000001
10,0.74,4.0,0.2,1.6219922520000003,0.0374043505429018,-0.0020948439999997,4.822627393860262,0.580277362561448,0.016219922520000003
10,0.82,4.0,0.2,2.8356225909999995,0.0391191885652072,-0.0454585090000005,9.252462432907882,0.8051120734722712,0.028356225909999994
