            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.628318548    0.033427785    0.000144783
    0.000000000    1.256637096    0.071262396    0.000147829
    0.000000000    1.884955645    0.101096079    0.000282404
    0.000000000    2.513274193    0.127510820    0.000298481
    0.000000000    3.141592741    0.135535771    0.000382811
    0.000000000   -3.141592741    0.135535771    0.000382811
    0.000000000   -2.513274193    0.127510825    0.000298481
    0.000000000   -1.884955645    0.101096100    0.000282404
    0.000000000   -1.256637096    0.071262413    0.000147829
    0.000000000   -0.628318548    0.033427773    0.000144783
    0.628318548    0.000000000    0.035788978    0.000128194
    0.628318548    0.628318548    0.055576839    0.000149523
    0.628318548    1.256637096    0.084258508    0.000129020
    0.628318548    1.884955645    0.112282123    0.000144171
    0.628318548    2.513274193    0.149068990    0.000395067
    0.628318548    3.141592741    0.256408298    0.000905755
    0.628318548   -3.141592741    0.256408298    0.000905755
    0.628318548   -2.513274193    0.149040421    0.000334805
    0.628318548   -1.884955645    0.111791204    0.000196152
    0.628318548   -1.256637096    0.084134614    0.000168197
    0.628318548   -0.628318548    0.055680529    0.000071234
    1.256637096    0.000000000    0.073780124    0.000189865
    1.256637096    0.628318548    0.083591271    0.000188883
    1.256637096    1.256637096    0.118020370    0.000257946
    1.256637096    1.884955645    0.150601960    0.000424630
    1.256637096    2.513274193    0.182622542    0.000443677
    1.256637096    3.141592741    0.202475550    0.000614496
    1.256637096   -3.141592741    0.202475550    0.000614496
    1.256637096   -2.513274193    0.182384555    0.000397455
    1.256637096   -1.884955645    0.150021259    0.000303225
    1.256637096   -1.256637096    0.117854293    0.000302742
    1.256637096   -0.628318548    0.083622281    0.000160193
    1.884955645    0.000000000    0.104169623    0.000189301
    1.884955645    0.628318548    0.112768783    0.000228792
    1.884955645    1.256637096    0.150190101    0.000316120
    1.884955645    1.884955645    0.189793862    0.000391142
    1.884955645    2.513274193    0.224625746    0.000844935
    1.884955645    3.141592741    0.248508285    0.000848215
    1.884955645   -3.141592741    0.248508285    0.000848215
    1.884955645   -2.513274193    0.223632791    0.000521863
    1.884955645   -1.884955645    0.189549246    0.000404175
    1.884955645   -1.256637096    0.150249934    0.000310531
    1.884955645   -0.628318548    0.112756432    0.000301224
    2.513274193    0.000000000    0.130242349    0.000368586
    2.513274193    0.628318548    0.148659055    0.000424150
    2.513274193    1.256637096    0.180920234    0.000364126
    2.513274193    1.884955645    0.223493145    0.000534537
    2.513274193    2.513274193    0.295996700    0.000982937
    2.513274193    3.141592741    0.298073517    0.000973534
    2.513274193   -3.141592741    0.298073517    0.000973534
    2.513274193   -2.513274193    0.296653154    0.001011268
    2.513274193   -1.884955645    0.223474996    0.000475061
    2.513274193   -1.256637096    0.181643370    0.000688633
    2.513274193   -0.628318548    0.149325596    0.000277160
    3.141592741    0.000000000    0.135881096    0.000405800
   -3.141592741    0.000000000    0.135881096    0.000405800
    3.141592741    0.628318548    0.170569311    0.000476382
   -3.141592741    0.628318548    0.170569311    0.000476382
    3.141592741    1.256637096    0.200941453    0.000611885
   -3.141592741    1.256637096    0.200941453    0.000611885
    3.141592741    1.884955645    0.245528788    0.000677652
   -3.141592741    1.884955645    0.245528788    0.000677652
    3.141592741    2.513274193    0.291602782    0.001061501
   -3.141592741    2.513274193    0.291602782    0.001061501
    3.141592741    3.141592741    0.306938441    0.001985981
   -3.141592741    3.141592741    0.306938441    0.001985981
    3.141592741   -3.141592741    0.306938441    0.001985981
   -3.141592741   -3.141592741    0.306938441    0.001985981
    3.141592741   -2.513274193    0.291602791    0.001061500
   -3.141592741   -2.513274193    0.291602791    0.001061500
    3.141592741   -1.884955645    0.245528803    0.000677652
   -3.141592741   -1.884955645    0.245528803    0.000677652
    3.141592741   -1.256637096    0.200941469    0.000611885
   -3.141592741   -1.256637096    0.200941469    0.000611885
    3.141592741   -0.628318548    0.170569294    0.000476382
   -3.141592741   -0.628318548    0.170569294    0.000476382
   -2.513274193    0.000000000    0.130242353    0.000368586
   -2.513274193    0.628318548    0.149325615    0.000277160
   -2.513274193    1.256637096    0.181643355    0.000688633
   -2.513274193    1.884955645    0.223474974    0.000475061
   -2.513274193    2.513274193    0.296653155    0.001011268
   -2.513274193    3.141592741    0.298073527    0.000973534
   -2.513274193   -3.141592741    0.298073527    0.000973534
   -2.513274193   -2.513274193    0.295996731    0.000982936
   -2.513274193   -1.884955645    0.223493175    0.000534537
   -2.513274193   -1.256637096    0.180920257    0.000364126
   -2.513274193   -0.628318548    0.148659057    0.000424151
   -1.884955645    0.000000000    0.104169644    0.000189301
   -1.884955645    0.628318548    0.112756468    0.000301224
   -1.884955645    1.256637096    0.150249935    0.000310531
   -1.884955645    1.884955645    0.189549244    0.000404175
   -1.884955645    2.513274193    0.223632813    0.000521863
   -1.884955645    3.141592741    0.248508306    0.000848215
   -1.884955645   -3.141592741    0.248508306    0.000848215
   -1.884955645   -2.513274193    0.224625776    0.000844935
   -1.884955645   -1.884955645    0.189793916    0.000391142
   -1.884955645   -1.256637096    0.150190145    0.000316120
   -1.884955645   -0.628318548    0.112768793    0.000228792
   -1.256637096    0.000000000    0.073780141    0.000189865
   -1.256637096    0.628318548    0.083622319    0.000160193
   -1.256637096    1.256637096    0.117854276    0.000302742
   -1.256637096    1.884955645    0.150021265    0.000303225
   -1.256637096    2.513274193    0.182384577    0.000397455
   -1.256637096    3.141592741    0.202475571    0.000614496
   -1.256637096   -3.141592741    0.202475571    0.000614496
   -1.256637096   -2.513274193    0.182622570    0.000443677
   -1.256637096   -1.884955645    0.150602004    0.000424630
   -1.256637096   -1.256637096    0.118020413    0.000257947
   -1.256637096   -0.628318548    0.083591285    0.000188883
   -0.628318548    0.000000000    0.035788966    0.000128194
   -0.628318548    0.628318548    0.055680533    0.000071234
   -0.628318548    1.256637096    0.084134579    0.000168197
   -0.628318548    1.884955645    0.111791174    0.000196151
   -0.628318548    2.513274193    0.149040396    0.000334805
   -0.628318548    3.141592741    0.256408303    0.000905755
   -0.628318548   -3.141592741    0.256408303    0.000905755
   -0.628318548   -2.513274193    0.149068982    0.000395067
   -0.628318548   -1.884955645    0.112282114    0.000144171
   -0.628318548   -1.256637096    0.084258525    0.000129020
   -0.628318548   -0.628318548    0.055576804    0.000149523
