L,nup,n,delta,U,h,seed,apx,apy,delta_tot,m_stag
10,50,1.0,0.3,4.0,0.05,1,1,1,3.008802921582282,0.11046570125012296
10,50,1.0,0.3,4.0,0.05,2,1,1,3.0544267406796566,0.10764283011986288
10,50,1.0,0.3,4.0,0.05,3,1,1,2.933534958945376,0.10503100272189704
10,50,1.0,0.3,4.0,0.05,4,1,1,3.0667852792808885,0.11095247271172179
10,50,1.0,0.3,4.0,0.05,5,1,1,3.039554073207389,0.10902569272562189
10,50,1.0,0.3,4.0,0.05,6,1,1,3.0997038720737535,0.11260386590222556
10,50,1.0,0.3,4.0,0.1,1,1,1,4.087796152615985,0.16422910830971219
10,50,1.0,0.3,4.0,0.1,2,1,1,4.1340986336888195,0.1615171760093581
10,50,1.0,0.3,4.0,0.1,3,1,1,4.226365120485733,0.1638603705765284
10,50,1.0,0.3,4.0,0.1,4,1,1,4.293871776444954,0.17191299374518956
10,50,1.0,0.3,4.0,0.1,5,1,1,4.2338574457271685,0.16735028131329577
10,50,1.0,0.3,4.0,0.1,6,1,1,4.286905034957753,0.16920718136116542
10,50,1.0,0.3,4.0,0.2,1,1,1,5.606927507814083,0.2659164447774353
10,50,1.0,0.3,4.0,0.2,2,1,1,5.545612183148456,0.25740708993356765
10,50,1.0,0.3,4.0,0.2,3,1,1,5.41539462745604,0.26368752586465594
10,50,1.0,0.3,4.0,0.2,4,1,1,5.539856870419127,0.2606611561777704
10,50,1.0,0.3,4.0,0.2,5,1,1,5.574276021573605,0.26188590240880016
10,50,1.0,0.3,4.0,0.2,6,1,1,5.635204733170081,0.26646755401957006
10,50,1.0,0.3,4.0,0.3,1,1,1,6.923374235353301,0.3493747565145412
10,50,1.0,0.3,4.0,0.3,2,1,1,6.996478835106848,0.342213389616838
10,50,1.0,0.3,4.0,0.3,3,1,1,6.847195188178525,0.34646484763969765
10,50,1.0,0.3,4.0,0.3,4,1,1,6.8776053959541645,0.3361206455484048
10,50,1.0,0.3,4.0,0.3,5,1,1,6.8574118740966785,0.33964581736398314
10,50,1.0,0.3,4.0,0.3,6,1,1,6.825231377132612,0.3440414652463115
10,50,1.0,0.3,4.0,0.5,1,1,1,9.59428496473844,0.5734169938144883
10,50,1.0,0.3,4.0,0.5,2,1,1,9.73002912935346,0.5653555843986798
10,50,1.0,0.3,4.0,0.5,3,1,1,9.801900569434938,0.568868085144636
10,50,1.0,0.3,4.0,0.5,4,1,1,9.8733762588758,0.567168142625267
10,50,1.0,0.3,4.0,0.5,5,1,1,9.774356634798032,0.5695041053376667
10,50,1.0,0.3,4.0,0.5,6,1,1,9.881394828064268,0.5653649280991211
