L,nup,n,delta,U,h,seed,apx,apy,delta_tot,m_stag
16,128,1.0,0.3,4.0,0.05,1,1,1,6.953374145848943,0.09728409309122647
16,128,1.0,0.3,4.0,0.05,2,1,1,7.695392169448386,0.1062092956922071
16,128,1.0,0.3,4.0,0.05,3,1,1,7.202849908719887,0.09866923558500339
16,128,1.0,0.3,4.0,0.05,4,1,1,7.588073231632728,0.10283830724785505
16,128,1.0,0.3,4.0,0.05,5,1,1,7.800644433395165,0.10510404361602409
16,128,1.0,0.3,4.0,0.05,6,1,1,7.632658262038101,0.10305852538056035
16,128,1.0,0.3,4.0,0.1,1,1,1,11.769812067905107,0.1694559257620511
16,128,1.0,0.3,4.0,0.1,2,1,1,11.484307366134477,0.16431568356166085
16,128,1.0,0.3,4.0,0.1,3,1,1,11.228165787949811,0.1608132474941395
16,128,1.0,0.3,4.0,0.1,4,1,1,11.21183170860183,0.1632524514847442
16,128,1.0,0.3,4.0,0.1,5,1,1,12.86565187327252,0.17908166006694282
16,128,1.0,0.3,4.0,0.1,6,1,1,11.31241434201346,0.16312595755074058
16,128,1.0,0.3,4.0,0.2,1,1,1,22.447811264335375,0.3223730798694816
16,128,1.0,0.3,4.0,0.2,2,1,1,21.866202426611725,0.32409565737453794
16,128,1.0,0.3,4.0,0.2,3,1,1,23.069028014790568,0.33731149398291926
16,128,1.0,0.3,4.0,0.2,4,1,1,22.802712071785614,0.33266961526313665
16,128,1.0,0.3,4.0,0.2,5,1,1,24.695517928955,0.39800312858531056
16,128,1.0,0.3,4.0,0.2,6,1,1,22.203959944475923,0.323137109480237
16,128,1.0,0.3,4.0,0.3,1,1,1,25.844750303045885,0.4154885404884012
16,128,1.0,0.3,4.0,0.3,2,1,1,26.00758073191348,0.4168653467960806
16,128,1.0,0.3,4.0,0.3,3,1,1,25.87549799415379,0.4190348240815553
16,128,1.0,0.3,4.0,0.3,4,1,1,26.88474542149936,0.4215225342776263
16,128,1.0,0.3,4.0,0.3,5,1,1,25.59542240908268,0.41148112586104935
16,128,1.0,0.3,4.0,0.3,6,1,1,25.70578415822868,0.4049872556924512
16,128,1.0,0.3,4.0,0.5,1,1,1,27.281662436852372,0.5467644261571166
16,128,1.0,0.3,4.0,0.5,2,1,1,28.487819782195373,0.5422752451035009
16,128,1.0,0.3,4.0,0.5,3,1,1,26.43520809800026,0.5558029877284754
16,128,1.0,0.3,4.0,0.5,4,1,1,31.580255077343686,0.5579471510956793
16,128,1.0,0.3,4.0,0.5,5,1,1,29.539095312486594,0.5796041850821899
16,128,1.0,0.3,4.0,0.5,6,1,1,26.94602703013123,0.5397399076256325
