L,nup,n,delta,U,h,seed,apx,apy,delta_tot,m_stag
8,32,1.0,0.3,4.0,0.05,1,1,1,2.3370039985763595,0.11930215040674585
8,32,1.0,0.3,4.0,0.05,2,1,1,2.259773041335913,0.11592079153746525
8,32,1.0,0.3,4.0,0.05,3,1,1,2.575900520153428,0.11594185567205832
8,32,1.0,0.3,4.0,0.05,4,1,1,2.305464053126038,0.11520071938121784
8,32,1.0,0.3,4.0,0.05,5,1,1,2.2917534120790775,0.1194440936101595
8,32,1.0,0.3,4.0,0.05,6,1,1,2.2685843595262853,0.11618512398487357
8,32,1.0,0.3,4.0,0.1,1,1,1,2.807512267741311,0.16850960233769469
8,32,1.0,0.3,4.0,0.1,2,1,1,2.7399049262763473,0.1676411878785639
8,32,1.0,0.3,4.0,0.1,3,1,1,2.775327414344005,0.1664939083519526
8,32,1.0,0.3,4.0,0.1,4,1,1,2.7631251957122647,0.16356353773502644
8,32,1.0,0.3,4.0,0.1,5,1,1,2.7876152148765474,0.16422105851594437
8,32,1.0,0.3,4.0,0.1,6,1,1,2.782035988998772,0.16863462740946739
8,32,1.0,0.3,4.0,0.2,1,1,1,3.4008322355248826,0.2584390070296189
8,32,1.0,0.3,4.0,0.2,2,1,1,3.281527945248867,0.2564096596147024
8,32,1.0,0.3,4.0,0.2,3,1,1,3.239842812960869,0.25222956264486296
8,32,1.0,0.3,4.0,0.2,4,1,1,3.203532729202908,0.2550333007158413
8,32,1.0,0.3,4.0,0.2,5,1,1,3.313384797397993,0.252453656194486
8,32,1.0,0.3,4.0,0.2,6,1,1,3.187743190483064,0.25309513195091293
8,32,1.0,0.3,4.0,0.3,1,1,1,3.988527327350815,0.33045889273047074
8,32,1.0,0.3,4.0,0.3,2,1,1,3.959432582216916,0.3255533903722378
8,32,1.0,0.3,4.0,0.3,3,1,1,4.007119602447293,0.32702671020922525
8,32,1.0,0.3,4.0,0.3,4,1,1,4.039413982473212,0.3279617015579306
8,32,1.0,0.3,4.0,0.3,5,1,1,4.051322792714607,0.3232819717199106
8,32,1.0,0.3,4.0,0.3,6,1,1,4.080685139790139,0.3328868311463309
8,32,1.0,0.3,4.0,0.5,1,1,1,4.01496778930841,0.4454063902337014
8,32,1.0,0.3,4.0,0.5,2,1,1,4.582993336423835,0.44078765966565625
8,32,1.0,0.3,4.0,0.5,3,1,1,4.315712489505918,0.43775638243272386
8,32,1.0,0.3,4.0,0.5,4,1,1,4.165557318353578,0.4386246882294178
8,32,1.0,0.3,4.0,0.5,5,1,1,4.006579990009433,0.4433501148320645
8,32,1.0,0.3,4.0,0.5,6,1,1,4.7975640109294755,0.45055493488270854
