L,nup,n,delta,U,h,seed,apx,apy,delta_tot,m_stag
12,72,1.0,0.3,4.0,0.05,1,1,1,4.287903670254404,0.1045906417516253
12,72,1.0,0.3,4.0,0.05,2,1,1,4.01942441275479,0.0968559260018571
12,72,1.0,0.3,4.0,0.05,3,1,1,4.051528024631024,0.10161467256644431
12,72,1.0,0.3,4.0,0.05,4,1,1,3.9496254254996184,0.09590220457035496
12,72,1.0,0.3,4.0,0.05,5,1,1,4.084658144748713,0.09990770006017606
12,72,1.0,0.3,4.0,0.05,6,1,1,4.252362911662907,0.10622169417797339
12,72,1.0,0.3,4.0,0.1,1,1,1,5.94555080965927,0.16520945101953144
12,72,1.0,0.3,4.0,0.1,2,1,1,5.897759600685404,0.1630484651892161
12,72,1.0,0.3,4.0,0.1,3,1,1,6.08258282519106,0.16938231229610662
12,72,1.0,0.3,4.0,0.1,4,1,1,5.894620292414897,0.16126297657295022
12,72,1.0,0.3,4.0,0.1,5,1,1,6.104128479880092,0.1713147514634473
12,72,1.0,0.3,4.0,0.1,6,1,1,5.930011023471191,0.16281147852844993
12,72,1.0,0.3,4.0,0.2,1,1,1,8.784441710048053,0.26344972090857555
12,72,1.0,0.3,4.0,0.2,2,1,1,8.901682060634524,0.27276107923362036
12,72,1.0,0.3,4.0,0.2,3,1,1,8.825622095264002,0.2683870829102515
12,72,1.0,0.3,4.0,0.2,4,1,1,8.808381453302513,0.26542484880951894
12,72,1.0,0.3,4.0,0.2,5,1,1,8.977462915469408,0.26700023633841297
12,72,1.0,0.3,4.0,0.2,6,1,1,8.972344483298635,0.27049535609469527
12,72,1.0,0.3,4.0,0.3,1,1,1,13.799605326883144,0.4172083408732017
12,72,1.0,0.3,4.0,0.3,2,1,1,13.489431776394028,0.42114780377092254
12,72,1.0,0.3,4.0,0.3,3,1,1,13.81788232425977,0.40932943003258776
12,72,1.0,0.3,4.0,0.3,4,1,1,13.760700854363368,0.41124433645336045
12,72,1.0,0.3,4.0,0.3,5,1,1,13.794843372600848,0.4167441486723383
12,72,1.0,0.3,4.0,0.3,6,1,1,14.109340238059774,0.424564481607671
12,72,1.0,0.3,4.0,0.5,1,1,1,15.489280379651815,0.5550272102325569
12,72,1.0,0.3,4.0,0.5,2,1,1,14.815741364803488,0.5646987034095906
12,72,1.0,0.3,4.0,0.5,3,1,1,14.781230608698364,0.5618619412282798
12,72,1.0,0.3,4.0,0.5,4,1,1,14.847600223854016,0.5587712990184125
12,72,1.0,0.3,4.0,0.5,5,1,1,14.82486528514772,0.5597464393662201
12,72,1.0,0.3,4.0,0.5,6,1,1,15.321748251155752,0.5662086099575246
