            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.523598790    0.019523851    0.000147652
    0.000000000    1.047197580    0.059344282    0.000314968
    0.000000000    1.570796371    0.110960951    0.000735532
    0.000000000    2.094395161    0.157405504    0.000905085
    0.000000000    2.617993832    0.190839953    0.001433218
    0.000000000    3.141592741    0.203445637    0.001414671
    0.000000000   -3.141592741    0.203445637    0.001414671
    0.000000000   -2.617993832    0.190839960    0.001433218
    0.000000000   -2.094395161    0.157405515    0.000905085
    0.000000000   -1.570796371    0.110960973    0.000735531
    0.000000000   -1.047197580    0.059344305    0.000314968
    0.000000000   -0.523598790    0.019523846    0.000147652
    0.523598790    0.000000000    0.019655666    0.000103213
    0.523598790    0.523598790    0.034298414    0.000199328
    0.523598790    1.047197580    0.069782436    0.000286522
    0.523598790    1.570796371    0.115958755    0.000816633
    0.523598790    2.094395161    0.159154538    0.001039841
    0.523598790    2.617993832    0.189878392    0.001033136
    0.523598790    3.141592741    0.202466004    0.000977889
    0.523598790   -3.141592741    0.202466004    0.000977889
    0.523598790   -2.617993832    0.190382722    0.001094596
    0.523598790   -2.094395161    0.159239481    0.000908874
    0.523598790   -1.570796371    0.116099104    0.000505188
    0.523598790   -1.047197580    0.069738540    0.000406555
    0.523598790   -0.523598790    0.034109793    0.000073365
    1.047197580    0.000000000    0.060658933    0.000267758
    1.047197580    0.523598790    0.070257663    0.000296516
    1.047197580    1.047197580    0.095022427    0.000139410
    1.047197580    1.570796371    0.130281857    0.000392683
    1.047197580    2.094395161    0.164000879    0.001135260
    1.047197580    2.617993832    0.190412134    0.000837839
    1.047197580    3.141592741    0.201328115    0.001129079
    1.047197580   -3.141592741    0.201328115    0.001129079
    1.047197580   -2.617993832    0.190909824    0.001645307
    1.047197580   -2.094395161    0.163336004    0.000990774
    1.047197580   -1.570796371    0.130522999    0.000390816
    1.047197580   -1.047197580    0.096060036    0.000297883
    1.047197580   -0.523598790    0.070571656    0.000249434
    1.570796371    0.000000000    0.112378709    0.000621920
    1.570796371    0.523598790    0.117722125    0.000809056
    1.570796371    1.047197580    0.130574020    0.000744570
    1.570796371    1.570796371    0.149769988    0.000541466
    1.570796371    2.094395161    0.171795415    0.000854533
    1.570796371    2.617993832    0.189784906    0.000609971
    1.570796371    3.141592741    0.199134081    0.001169638
    1.570796371   -3.141592741    0.199134081    0.001169638
    1.570796371   -2.617993832    0.190061626    0.000759700
    1.570796371   -2.094395161    0.170562245    0.000715383
    1.570796371   -1.570796371    0.150221745    0.000580721
    1.570796371   -1.047197580    0.130988220    0.000584300
    1.570796371   -0.523598790    0.117360463    0.000980827
    2.094395161    0.000000000    0.160363326    0.001140687
    2.094395161    0.523598790    0.160993149    0.001194945
    2.094395161    1.047197580    0.165000590    0.000740790
    2.094395161    1.570796371    0.173018483    0.000760711
    2.094395161    2.094395161    0.178077278    0.000309239
    2.094395161    2.617993832    0.192047082    0.000878657
    2.094395161    3.141592741    0.196975011    0.000902451
    2.094395161   -3.141592741    0.196975011    0.000902451
    2.094395161   -2.617993832    0.191281842    0.000988568
    2.094395161   -2.094395161    0.179186638    0.000805862
    2.094395161   -1.570796371    0.172853730    0.000661436
    2.094395161   -1.047197580    0.165371988    0.000742056
    2.094395161   -0.523598790    0.160847663    0.000577229
    2.617993832    0.000000000    0.192194822    0.001002322
    2.617993832    0.523598790    0.193290540    0.001314181
    2.617993832    1.047197580    0.191739411    0.001073916
    2.617993832    1.570796371    0.192521645    0.001118456
    2.617993832    2.094395161    0.192161924    0.000987649
