            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.628318548    0.020234363    0.000178412
    0.000000000    1.256637096    0.057710581    0.000315057
    0.000000000    1.884955645    0.091553658    0.000496068
    0.000000000    2.513274193    0.112571059    0.000531069
    0.000000000    3.141592741    0.120033262    0.000919617
    0.000000000   -3.141592741    0.120033262    0.000919617
    0.000000000   -2.513274193    0.112571064    0.000531069
    0.000000000   -1.884955645    0.091553676    0.000496068
    0.000000000   -1.256637096    0.057710596    0.000315057
    0.000000000   -0.628318548    0.020234354    0.000178412
    0.628318548    0.000000000    0.020026997    0.000235771
    0.628318548    0.628318548    0.030836127    0.000109377
    0.628318548    1.256637096    0.062289121    0.000338499
    0.628318548    1.884955645    0.095546843    0.000451655
    0.628318548    2.513274193    0.117401096    0.000615554
    0.628318548    3.141592741    0.124165414    0.000625028
    0.628318548   -3.141592741    0.124165414    0.000625028
    0.628318548   -2.513274193    0.117126058    0.000739559
    0.628318548   -1.884955645    0.096289362    0.000432335
    0.628318548   -1.256637096    0.062716605    0.000329014
    0.628318548   -0.628318548    0.030868311    0.000117893
    1.256637096    0.000000000    0.056856160    0.000317724
    1.256637096    0.628318548    0.062470418    0.000356812
    1.256637096    1.256637096    0.080726067    0.000297013
    1.256637096    1.884955645    0.110441764    0.000582925
    1.256637096    2.513274193    0.132410996    0.000505962
    1.256637096    3.141592741    0.140151902    0.000894032
    1.256637096   -3.141592741    0.140151902    0.000894032
    1.256637096   -2.513274193    0.132421405    0.000689130
    1.256637096   -1.884955645    0.110578614    0.000904075
    1.256637096   -1.256637096    0.081559799    0.000475043
    1.256637096   -0.628318548    0.062782909    0.000503979
    1.884955645    0.000000000    0.090651711    0.000593644
    1.884955645    0.628318548    0.095274457    0.000506918
    1.884955645    1.256637096    0.109348335    0.000580113
    1.884955645    1.884955645    0.133516777    0.000576998
    1.884955645    2.513274193    0.158886867    0.000471113
    1.884955645    3.141592741    0.167934551    0.001279341
    1.884955645   -3.141592741    0.167934551    0.001279341
    1.884955645   -2.513274193    0.160054207    0.001004725
    1.884955645   -1.884955645    0.134831434    0.000690205
    1.884955645   -1.256637096    0.109837930    0.000587922
    1.884955645   -0.628318548    0.094164633    0.000572252
    2.513274193    0.000000000    0.111821568    0.000740936
    2.513274193    0.628318548    0.117315748    0.000730952
    2.513274193    1.256637096    0.131976020    0.000573931
    2.513274193    1.884955645    0.157920690    0.000753230
    2.513274193    2.513274193    0.187780818    0.000884420
    2.513274193    3.141592741    0.204340294    0.000663074
    2.513274193   -3.141592741    0.204340294    0.000663074
    2.513274193   -2.513274193    0.189585672    0.001172508
