            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.785398185    0.032129479    0.000118730
    0.000000000    1.570796371    0.078476077    0.000364279
    0.000000000    2.356194496    0.114438398    0.000396866
    0.000000000    3.141592741    0.120825488    0.000512820
    0.000000000   -3.141592741    0.120825488    0.000512820
    0.000000000   -2.356194496    0.114438408    0.000396866
    0.000000000   -1.570796371    0.078476094    0.000364279
    0.000000000   -0.785398185    0.032129480    0.000118731
    0.785398185    0.000000000    0.032361829    0.000155548
    0.785398185    0.785398185    0.045986086    0.000173883
    0.785398185    1.570796371    0.087799900    0.000543156
    0.785398185    2.356194496    0.118235626    0.000301261
    0.785398185    3.141592741    0.133117227    0.000367639
    0.785398185   -3.141592741    0.133117227    0.000367639
    0.785398185   -2.356194496    0.118277193    0.000551991
    0.785398185   -1.570796371    0.086775688    0.000369912
    0.785398185   -0.785398185    0.046054777    0.000219671
    1.570796371    0.000000000    0.078927669    0.000243676
    1.570796371    0.785398185    0.087348598    0.000279986
    1.570796371    1.570796371    0.109840895    0.000319659
    1.570796371    2.356194496    0.145081724    0.000567682
    1.570796371    3.141592741    0.155658243    0.000694536
    1.570796371   -3.141592741    0.155658243    0.000694536
    1.570796371   -2.356194496    0.143661679    0.000457383
    1.570796371   -1.570796371    0.110234262    0.000288378
    1.570796371   -0.785398185    0.087972830    0.000277955
    2.356194496    0.000000000    0.113765228    0.000286582
    2.356194496    0.785398185    0.118593231    0.000263835
    2.356194496    1.570796371    0.143998044    0.000431452
    2.356194496    2.356194496    0.177444720    0.000513030
    2.356194496    3.141592741    0.200307420    0.000714766
    2.356194496   -3.141592741    0.200307420    0.000714766
    2.356194496   -2.356194496    0.176360087    0.000388078
    2.356194496   -1.570796371    0.144820126    0.000415592
    2.356194496   -0.785398185    0.118077744    0.000222709
    3.141592741    0.000000000    0.120715623    0.000444315
   -3.141592741    0.000000000    0.120715623    0.000444315
    3.141592741    0.785398185    0.133387467    0.000325908
   -3.141592741    0.785398185    0.133387467    0.000325908
    3.141592741    1.570796371    0.154454301    0.000202117
   -3.141592741    1.570796371    0.154454301    0.000202117
    3.141592741    2.356194496    0.200454208    0.000853236
   -3.141592741    2.356194496    0.200454208    0.000853236
    3.141592741    3.141592741    3.932059597    0.015787714
   -3.141592741    3.141592741    3.932059597    0.015787714
    3.141592741   -3.141592741    3.932059597    0.015787714
   -3.141592741   -3.141592741    3.932059597    0.015787714
    3.141592741   -2.356194496    0.200454172    0.000853235
   -3.141592741   -2.356194496    0.200454172    0.000853235
    3.141592741   -1.570796371    0.154454326    0.000202117
   -3.141592741   -1.570796371    0.154454326    0.000202117
    3.141592741   -0.785398185    0.133387598    0.000325908
   -3.141592741   -0.785398185    0.133387598    0.000325908
   -2.356194496    0.000000000    0.113765238    0.000286582
   -2.356194496    0.785398185    0.118077777    0.000222709
   -2.356194496    1.570796371    0.144820096    0.000415592
   -2.356194496    2.356194496    0.176360087    0.000388078
   -2.356194496    3.141592741    0.200307388    0.000714766
   -2.356194496   -3.141592741    0.200307388    0.000714766
   -2.356194496   -2.356194496    0.177444756    0.000513030
   -2.356194496   -1.570796371    0.143998072    0.000431452
   -2.356194496   -0.785398185    0.118593315    0.000263835
   -1.570796371    0.000000000    0.078927685    0.000243676
   -1.570796371    0.785398185    0.087972877    0.000277955
   -1.570796371    1.570796371    0.110234263    0.000288378
   -1.570796371    2.356194496    0.143661708    0.000457383
   -1.570796371    3.141592741    0.155658266    0.000694535
   -1.570796371   -3.141592741    0.155658266    0.000694535
   -1.570796371   -2.356194496    0.145081753    0.000567682
   -1.570796371   -1.570796371    0.109841212    0.000319658
   -1.570796371   -0.785398185    0.087348574    0.000279986
   -0.785398185    0.000000000    0.032361830    0.000155548
   -0.785398185    0.785398185    0.046054776    0.000219670
   -0.785398185    1.570796371    0.086775641    0.000369912
   -0.785398185    2.356194496    0.118277160    0.000551991
   -0.785398185    3.141592741    0.133117358    0.000367638
   -0.785398185   -3.141592741    0.133117358    0.000367638
   -0.785398185   -2.356194496    0.118235711    0.000301261
   -0.785398185   -1.570796371    0.087799876    0.000543156
   -0.785398185   -0.785398185    0.045986275    0.000173882
