            k_x            k_y          value          error
    0.000000000    0.000000000   -0.000000000    0.000000000
    0.000000000    0.628318548    0.017186979    0.000136529
    0.000000000    1.256637096    0.048328029    0.000394523
    0.000000000    1.884955645    0.079780496    0.000742449
    0.000000000    2.513274193    0.105210556    0.001479802
    0.000000000    3.141592741    0.113097921    0.001308654
    0.000000000   -3.141592741    0.113097921    0.001308654
    0.000000000   -2.513274193    0.105210561    0.001479801
    0.000000000   -1.884955645    0.079780512    0.000742449
    0.000000000   -1.256637096    0.048328043    0.000394523
    0.000000000   -0.628318548    0.017186970    0.000136528
    0.628318548    0.000000000    0.017437807    0.000303495
    0.628318548    0.628318548    0.026520482    0.000385869
    0.628318548    1.256637096    0.055279958    0.001056564
    0.628318548    1.884955645    0.085810078    0.000841438
    0.628318548    2.513274193    0.109994503    0.001066630
    0.628318548    3.141592741    0.116836947    0.001342627
    0.628318548   -3.141592741    0.116836947    0.001342627
    0.628318548   -2.513274193    0.109590538    0.001904515
    0.628318548   -1.884955645    0.084131511    0.000646103
    0.628318548   -1.256637096    0.054044999    0.000219006
    0.628318548   -0.628318548    0.026431801    0.000417111
    1.256637096    0.000000000    0.047917738    0.000775995
    1.256637096    0.628318548    0.054134618    0.000535681
    1.256637096    1.256637096    0.072124394    0.000808118
    1.256637096    1.884955645    0.097314732    0.000837430
    1.256637096    2.513274193    0.119087451    0.001296008
    1.256637096    3.141592741    0.133329085    0.005618312
    1.256637096   -3.141592741    0.133329085    0.005618312
    1.256637096   -2.513274193    0.121801193    0.001668396
    1.256637096   -1.884955645    0.098947176    0.000621083
    1.256637096   -1.256637096    0.073055629    0.000644163
    1.256637096   -0.628318548    0.055390436    0.000517702
    1.884955645    0.000000000    0.080030240    0.001196913
    1.884955645    0.628318548    0.084008329    0.000746910
    1.884955645    1.256637096    0.099701631    0.001011056
    1.884955645    1.884955645    0.122663049    0.002060481
    1.884955645    2.513274193    0.144733445    0.001412514
    1.884955645    3.141592741    0.150814407    0.002651663
    1.884955645   -3.141592741    0.150814407    0.002651663
    1.884955645   -2.513274193    0.144583994    0.001273339
    1.884955645   -1.884955645    0.122518390    0.000939885
    1.884955645   -1.256637096    0.098574446    0.000793037
    1.884955645   -0.628318548    0.084060320    0.000639704
    2.513274193    0.000000000    0.103777186    0.001008438
    2.513274193    0.628318548    0.109571602    0.000910630
    2.513274193    1.256637096    0.122933405    0.002028089
    2.513274193    1.884955645    0.142082325    0.001109067
    2.513274193    2.513274193    0.169800038    0.001689064
    2.513274193    3.141592741    0.187822366    0.002917464
    2.513274193   -3.141592741    0.187822366    0.002917464
    2.513274193   -2.513274193    0.173503428    0.002796118
    2.513274193   -1.884955645    0.143186267    0.001329780
    2.513274193   -1.256637096    0.120324399    0.001663371
    2.513274193   -0.628318548    0.107619078    0.001334183
    3.141592741    0.000000000    0.117132755    0.003880941
   -3.141592741    0.000000000    0.117132755    0.003880941
    3.141592741    0.628318548    0.117938673    0.002140896
   -3.141592741    0.628318548    0.117938673    0.002140896
    3.141592741    1.256637096    0.127468352    0.001532242
   -3.141592741    1.256637096    0.127468352    0.001532242
    3.141592741    1.884955645    0.153976623    0.001161723
   -3.141592741    1.884955645    0.153976623    0.001161723
    3.141592741    2.513274193    0.194110150    0.005181251
   -3.141592741    2.513274193    0.194110150    0.005181251
    3.141592741    3.141592741    9.437665951    0.080197639
   -3.141592741    3.141592741    9.437665951    0.080197639
    3.141592741   -3.141592741    9.437665951    0.080197639
   -3.141592741   -3.141592741    9.437665951    0.080197639
    3.141592741   -2.513274193    0.194110117    0.005181243
   -3.141592741   -2.513274193    0.194110117    0.005181243
    3.141592741   -1.884955645    0.153976508    0.001161724
   -3.141592741   -1.884955645    0.153976508    0.001161724
    3.141592741   -1.256637096    0.127468311    0.001532241
   -3.141592741   -1.256637096    0.127468311    0.001532241
    3.141592741   -0.628318548    0.117938490    0.002140896
   -3.141592741   -0.628318548    0.117938490    0.002140896
   -2.513274193    0.000000000    0.103777190    0.001008438
   -2.513274193    0.628318548    0.107619169    0.001334182
   -2.513274193    1.256637096    0.120323937    0.001663375
   -2.513274193    1.884955645    0.143186201    0.001329779
   -2.513274193    2.513274193    0.173503424    0.002796115
   -2.513274193    3.141592741    0.187822345    0.002917458
   -2.513274193   -3.141592741    0.187822345    0.002917458
   -2.513274193   -2.513274193    0.169800022    0.001689063
   -2.513274193   -1.884955645    0.142082311    0.001109069
   -2.513274193   -1.256637096    0.122933486    0.002028091
   -2.513274193   -0.628318548    0.109571615    0.000910631
   -1.884955645    0.000000000    0.080030257    0.001196913
   -1.884955645    0.628318548    0.084060676    0.000639701
   -1.884955645    1.256637096    0.098574606    0.000793038
   -1.884955645    1.884955645    0.122518390    0.000939885
   -1.884955645    2.513274193    0.144584058    0.001273340
   -1.884955645    3.141592741    0.150814280    0.002651660
   -1.884955645   -3.141592741    0.150814280    0.002651660
   -1.884955645   -2.513274193    0.144733428    0.001412513
   -1.884955645   -1.884955645    0.122661854    0.002060488
   -1.884955645   -1.256637096    0.099701656    0.001011055
   -1.884955645   -0.628318548    0.084008163    0.000746911
   -1.256637096    0.000000000    0.047917753    0.000775995
   -1.256637096    0.628318548    0.055390500    0.000517703
   -1.256637096    1.256637096    0.073055628    0.000644163
   -1.256637096    1.884955645    0.098947015    0.000621083
   -1.256637096    2.513274193    0.121801658    0.001668397
   -1.256637096    3.141592741    0.133329036    0.005618305
   -1.256637096   -3.141592741    0.133329036    0.005618305
   -1.256637096   -2.513274193    0.119087533    0.001296007
   -1.256637096   -1.884955645    0.097314761    0.000837429
   -1.256637096   -1.256637096    0.072127222    0.000808100
   -1.256637096   -0.628318548    0.054134373    0.000535684
   -0.628318548    0.000000000    0.017437800    0.000303495
   -0.628318548    0.628318548    0.026431803    0.000417112
   -0.628318548    1.256637096    0.054044940    0.000219005
   -0.628318548    1.884955645    0.084131155    0.000646105
   -0.628318548    2.513274193    0.109590437    0.001904513
   -0.628318548    3.141592741    0.116836763    0.001342627
   -0.628318548   -3.141592741    0.116836763    0.001342627
   -0.628318548   -2.513274193    0.109994513    0.001066629
   -0.628318548   -1.884955645    0.085809908    0.000841437
   -0.628318548   -1.256637096    0.055279717    0.001056564
   -0.628318548   -0.628318548    0.026519387    0.000385875
