            k_x            k_y          value          error
    0.000000000    0.000000000    0.000000000    0.000000000
    0.000000000    0.448798954    0.007663799    0.000137447
    0.000000000    0.897597909    0.026422078    0.000400315
    0.000000000    1.346396923    0.049433103    0.000635928
    0.000000000    1.795195818    0.069957281    0.000516393
    0.000000000    2.243994713    0.087805362    0.001248801
    0.000000000    2.692793846    0.098635938    0.000743386
    0.000000000    3.141592741    0.102410400    0.001770930
    0.000000000   -3.141592741    0.102410400    0.001770930
    0.000000000   -2.692793846    0.098635938    0.000743386
    0.000000000   -2.243994713    0.087805362    0.001248801
    0.000000000   -1.795195818    0.069957285    0.000516392
    0.000000000   -1.346396923    0.049433111    0.000635928
    0.000000000   -0.897597909    0.026422085    0.000400315
    0.000000000   -0.448798954    0.007663804    0.000137448
    0.448798954    0.000000000    0.007438664    0.000076723
    0.448798954    0.448798954    0.013755642    0.000167560
    0.448798954    0.897597909    0.029824519    0.000312646
    0.448798954    1.346396923    0.052708101    0.001275758
    0.448798954    1.795195818    0.073452697    0.000799567
    0.448798954    2.243994713    0.090771312    0.002308959
    0.448798954    2.692793846    0.101820698    0.001127372
    0.448798954    3.141592741    0.106953192    0.001034548
    0.448798954   -3.141592741    0.106953192    0.001034548
    0.448798954   -2.692793846    0.100500841    0.000962522
    0.448798954   -2.243994713    0.089761708    0.000870054
    0.448798954   -1.795195818    0.073500845    0.000943066
    0.448798954   -1.346396923    0.051360173    0.000591379
    0.448798954   -0.897597909    0.030772713    0.000785156
    0.448798954   -0.448798954    0.013672484    0.000186469
    0.897597909    0.000000000    0.026206879    0.000288699
    0.897597909    0.448798954    0.030004077    0.000190943
    0.897597909    0.897597909    0.042151908    0.000342949
    0.897597909    1.346396923    0.061661740    0.001414052
    0.897597909    1.795195818    0.079810935    0.000658958
    0.897597909    2.243994713    0.097052254    0.001022335
    0.897597909    2.692793846    0.107258295    0.000925919
    0.897597909    3.141592741    0.113049225    0.001508285
    0.897597909   -3.141592741    0.113049225    0.001508285
    0.897597909   -2.692793846    0.108007982    0.001117252
    0.897597909   -2.243994713    0.099259961    0.002024501
    0.897597909   -1.795195818    0.080972648    0.000590340
    0.897597909   -1.346396923    0.060928806    0.001074876
    0.897597909   -0.897597909    0.041703778    0.000234272
    0.897597909   -0.448798954    0.029784484    0.000172521
    1.346396923    0.000000000    0.048077450    0.000274245
    1.346396923    0.448798954    0.051767205    0.000476209
    1.346396923    0.897597909    0.060532720    0.000575950
    1.346396923    1.346396923    0.075900012    0.000938594
    1.346396923    1.795195818    0.091958163    0.000479868
    1.346396923    2.243994713    0.109275259    0.001222623
    1.346396923    2.692793846    0.120274902    0.001039659
    1.346396923    3.141592741    0.125744215    0.001339057
    1.346396923   -3.141592741    0.125744215    0.001339057
    1.346396923   -2.692793846    0.122507328    0.001169398
    1.346396923   -2.243994713    0.110768056    0.001559373
    1.346396923   -1.795195818    0.093326540    0.000899657
    1.346396923   -1.346396923    0.075355433    0.000517600
    1.346396923   -0.897597909    0.061417967    0.000621947
    1.346396923   -0.448798954    0.052108749    0.000582300
    1.795195818    0.000000000    0.069782208    0.000446858
    1.795195818    0.448798954    0.071963315    0.000752589
    1.795195818    0.897597909    0.080541643    0.000615458
    1.795195818    1.346396923    0.091161036    0.000604409
    1.795195818    1.795195818    0.110746010    0.001022891
    1.795195818    2.243994713    0.124842854    0.000633655
    1.795195818    2.692793846    0.140788953    0.002657119
    1.795195818    3.141592741    0.143364831    0.001862409
    1.795195818   -3.141592741    0.143364831    0.001862409
    1.795195818   -2.692793846    0.140187813    0.001213065
    1.795195818   -2.243994713    0.125569803    0.001042847
    1.795195818   -1.795195818    0.109462249    0.000858118
    1.795195818   -1.346396923    0.092199388    0.000547961
    1.795195818   -0.897597909    0.080357904    0.000873604
    1.795195818   -0.448798954    0.072118137    0.000845925
    2.243994713    0.000000000    0.088085812    0.000668327
    2.243994713    0.448798954    0.090257061    0.000880567
    2.243994713    0.897597909    0.097460701    0.000581040
    2.243994713    1.346396923    0.109016451    0.001353527
    2.243994713    1.795195818    0.125245000    0.000574325
    2.243994713    2.243994713    0.142628665    0.001675106
    2.243994713    2.692793846    0.157452745    0.001183151
    2.243994713    3.141592741    0.160137501    0.000916965
    2.243994713   -3.141592741    0.160137501    0.000916965
    2.243994713   -2.692793846    0.156626488    0.002021258
    2.243994713   -2.243994713    0.142597742    0.001108884
    2.243994713   -1.795195818    0.125065877    0.000584047
    2.243994713   -1.346396923    0.108694415    0.000738965
    2.243994713   -0.897597909    0.096342169    0.000736883
    2.243994713   -0.448798954    0.089837457    0.000812173
    2.692793846    0.000000000    0.098054157    0.000536389
    2.692793846    0.448798954    0.100815310    0.000712712
    2.692793846    0.897597909    0.108440879    0.000640925
    2.692793846    1.346396923    0.119912395    0.000988385
    2.692793846    1.795195818    0.141757627    0.001907104
    2.692793846    2.243994713    0.159196233    0.001401405
    2.692793846    2.692793846    0.175658784    0.002302212
    2.692793846    3.141592741    0.179978854    0.001785515
    2.692793846   -3.141592741    0.179978854    0.001785515
    2.692793846   -2.692793846    0.176318178    0.003547546
    2.692793846   -2.243994713    0.154556031    0.000844508
    2.692793846   -1.795195818    0.137222228    0.001313162
    2.692793846   -1.346396923    0.121279822    0.001164188
    2.692793846   -0.897597909    0.110413294    0.001208080
    2.692793846   -0.448798954    0.101022459    0.000631171
    3.141592741    0.000000000    0.101888310    0.001402591
   -3.141592741    0.000000000    0.101888310    0.001402591
    3.141592741    0.448798954    0.104843531    0.001188280
   -3.141592741    0.448798954    0.104843531    0.001188280
    3.141592741    0.897597909    0.111609970    0.000739182
   -3.141592741    0.897597909    0.111609970    0.000739182
    3.141592741    1.346396923    0.125199436    0.001001366
   -3.141592741    1.346396923    0.125199436    0.001001366
    3.141592741    1.795195818    0.141183747    0.000565269
   -3.141592741    1.795195818    0.141183747    0.000565269
